"code","iso","country","TCA.raw.2000"
222,"SLV","El Salvador",988820.088236713
226,"GNQ","Equatorial Guinea",2654599.59833831
232,"ERI","Eritrea",NA
233,"EST","Estonia",2639420.42438179
748,"SWZ","Eswatini",469223.145124171
231,"ETH","Ethiopia",12040337.0685546
234,"FRO","Faeroe Islands",NA
238,"FLK","Falkland Islands",2188.16542661547
242,"FJI","Fiji",1556561.89141505
246,"FIN","Finland",21735389.6733293
250,"FRA","France",25321082.0176734
258,"PYF","French Polynesia",NA
266,"GAB","Gabon",24690954.3990267
270,"GMB","Gambia",4562.23176440457
268,"GEO","Georgia",3144570.42224653
276,"DEU","Germany",12526018.4167699
288,"GHA","Ghana",6968885.80957739
300,"GRC","Greece",3672607.76773166
304,"GRL","Greenland",NA
308,"GRD","Grenada",28533.719358522
320,"GTM","Guatemala",7691096.16959601
831,"GGY","Guernsey",NA
324,"GIN","Guinea",8159636.17126623
624,"GNB","Guinea-Bissau",1069851.78174642
328,"GUY","Guyana",18996037.4769839
332,"HTI","Haiti",858467.542345859
336,"VAT","Holy See",NA
340,"HND","Honduras",7740495.92341659
344,"HKG","Hong Kong",NA
348,"HUN","Hungary",1989595.8471392
352,"ISL","Iceland",NA
356,"IND","India",32620760.3168521
360,"IDN","Indonesia",160640822.207456
364,"IRN","Iran",1731670.3239285
368,"IRQ","Iraq",17505.838963013
372,"IRL","Ireland",838578.628968905
833,"IMN","Isle of Man",NA
376,"ISR","Israel",29484.7674114014
380,"ITA","Italy",9317984.94198234
388,"JAM","Jamaica",768452.064012487
392,"JPN","Japan",26387218.5354694
832,"JEY","Jersey",NA
400,"JOR","Jordan",2271.45974126752
398,"KAZ","Kazakhstan",4240314.90681268
404,"KEN","Kenya",3319471.65242119
296,"KIR","Kiribati",NA
689,"XKX","Kosovo",NA
414,"KWT","Kuwait",NA
417,"KGZ","Kyrgyzstan",674934.421588743
418,"LAO","Laos",19118849.4839639
428,"LVA","Latvia",3553508.43028369
422,"LBN","Lebanon",65236.0722466213
426,"LSO","Lesotho",6051.73378124678
430,"LBR","Liberia",9384718.07067962
434,"LBY","Libya",6833.00933028961
438,"LIE","Liechtenstein",8942.3988873889
440,"LTU","Lithuania",2336224.34365829
442,"LUX","Luxembourg",101328.281914482
446,"MAC","Macao",NA
450,"MDG","Madagascar",17141084.1283971
454,"MWI","Malawi",1521028.05245567
458,"MYS","Malaysia",29444768.3687725
462,"MDV","Maldives",5569.75391625988
466,"MLI","Mali",25097.999755578
470,"MLT","Malta",NA
584,"MHL","Marshall Islands",NA
478,"MRT","Mauritania",NA
480,"MUS","Mauritius",71307.7106755695
484,"MEX","Mexico",53168926.0802654
583,"FSM","Micronesia",6171.71769869255
498,"MDA","Moldova",356004.461289254
492,"MCO","Monaco",NA
496,"MNG","Mongolia",4090459.04612237
499,"MNE","Montenegro",616459.420621888
504,"MAR","Morocco",648566.126512667
508,"MOZ","Mozambique",28920530.9696333
104,"MMR","Myanmar",42863360.7359679
516,"NAM","Namibia",4245.77725111273
520,"NRU","Nauru",NA
524,"NPL","Nepal",5161037.37075254
528,"NLD","Netherlands",595487.404503908
540,"NCL","New Caledonia",1440327.53058248
554,"NZL","New Zealand",11255803.7590621
558,"NIC","Nicaragua",7773867.49674787
562,"NER","Niger",NA
566,"NGA","Nigeria",10048743.1741737
570,"NIU","Niue",NA
408,"PRK","North Korea",5195565.62513944
807,"MKD","North Macedonia",782000.046899379
578,"NOR","Norway",11739515.5018076
512,"OMN","Oman",NA
586,"PAK","Pakistan",681137.680039069
585,"PLW","Palau",41239.4966730502
591,"PAN","Panama",5734588.50039216
598,"PNG","Papua New Guinea",42920262.311311
600,"PRY","Paraguay",24273208.1274813
604,"PER","Peru",78063554.933874
608,"PHL","Philippines",18599368.1571423
616,"POL","Poland",10439497.5980772
620,"PRT","Portugal",2302483.65983009
634,"QAT","Qatar",NA
178,"COG","Republic of Congo",26388421.3806965
642,"ROU","Romania",7915159.80517504
643,"RUS","Russia",761226509.353398
646,"RWA","Rwanda",497954.758898876
652,"BLM","Saint Barthelemy",NA
659,"KNA","Saint Kitts and Nevis",13259.6597152106
662,"LCA","Saint Lucia",50731.4849021369
882,"WSM","Samoa",NA
674,"SMR","San Marino",NA
678,"STP","Sao Tome and Principe",14213.7285698269
682,"SAU","Saudi Arabia",NA
686,"SEN","Senegal",39568.0611762916
688,"SRB","Serbia",2730304.72425532
690,"SYC","Seychelles",6209.47276018495
694,"SLE","Sierra Leone",5617879.80719568
702,"SGP","Singapore",18783.0004817
534,"SXM","Sint Maarten",NA
703,"SVK","Slovakia",2396834.50583243
705,"SVN","Slovenia",1291918.43502531
90,"SLB","Solomon Islands",2741593.30847916
706,"SOM","Somalia",87128.074783709
710,"ZAF","South Africa",5983121.26772562
410,"KOR","South Korea",5368013.30519259
728,"SSD","South Sudan",11386556.7284915
724,"ESP","Spain",11018935.4556415
144,"LKA","Sri Lanka",3939917.13378792
670,"VCT","St. Vincent and the Grenadines",29110.6141621387
275,"PSE","State of Palestine",NA
729,"SDN","Sudan",72712.5600603187
740,"SUR","Suriname",13949794.8691661
752,"SWE","Sweden",27883711.6393645
756,"CHE","Switzerland",1543999.21493345
760,"SYR","Syria",105939.932220403
158,"TWN","Taiwan",2342180.68494517
762,"TJK","Tajikistan",60256.9497975864
834,"TZA","Tanzania",26405606.7147028
764,"THA","Thailand",19955448.4074481
626,"TLS","Timor-Leste",726234.903872551
768,"TGO","Togo",551477.42287329
776,"TON","Tonga",NA
780,"TTO","Trinidad and Tobago",391844.130423857
788,"TUN","Tunisia",223928.220708249
792,"TUR","Turkiye",10060811.7722487
795,"TKM","Turkmenistan",10178.8776151826
796,"TCA","Turks and Caicos Islands",10851.3118848482
798,"TUV","Tuvalu",NA
800,"UGA","Uganda",7764952.31418426
804,"UKR","Ukraine",11139724.2832831
784,"ARE","United Arab Emirates",NA
826,"GBR","United Kingdom",3701730.98507746
840,"USA","United States of America",279918018.672365
858,"URY","Uruguay",1693390.1735989
860,"UZB","Uzbekistan",106176.372858031
548,"VUT","Vanuatu",1181153.06526145
862,"VEN","Venezuela",56519469.812471
704,"VNM","Viet Nam",16550834.5824047
876,"WLF","Wallis and Futuna Islands",NA
732,"ESH","Western Sahara",NA
887,"YEM","Yemen",NA
894,"ZMB","Zambia",24075024.2331664
716,"ZWE","Zimbabwe",1411914.97183896
