"code","iso","country","NCR.raw.1961","NCR.raw.1962","NCR.raw.1963","NCR.raw.1964","NCR.raw.1965","NCR.raw.1966","NCR.raw.1967","NCR.raw.1968","NCR.raw.1969","NCR.raw.1970","NCR.raw.1971","NCR.raw.1972","NCR.raw.1973","NCR.raw.1974","NCR.raw.1975","NCR.raw.1976","NCR.raw.1977","NCR.raw.1978","NCR.raw.1979","NCR.raw.1980","NCR.raw.1981","NCR.raw.1982","NCR.raw.1983","NCR.raw.1984","NCR.raw.1985","NCR.raw.1986","NCR.raw.1987","NCR.raw.1988","NCR.raw.1989","NCR.raw.1990","NCR.raw.1991","NCR.raw.1992","NCR.raw.1993","NCR.raw.1994","NCR.raw.1995","NCR.raw.1996","NCR.raw.1997","NCR.raw.1998","NCR.raw.1999","NCR.raw.2000","NCR.raw.2001","NCR.raw.2002","NCR.raw.2003","NCR.raw.2004","NCR.raw.2005","NCR.raw.2006","NCR.raw.2007","NCR.raw.2008","NCR.raw.2009","NCR.raw.2010","NCR.raw.2011","NCR.raw.2012","NCR.raw.2013","NCR.raw.2014","NCR.raw.2015","NCR.raw.2016","NCR.raw.2017","NCR.raw.2018","NCR.raw.2019","NCR.raw.2020","NCR.raw.2021","NCR.raw.2022","NCR.raw.2023"
36,"AUS","Australia","15.9407","18.1627","19.0543","20.2876","14.942","21.9967","14.2389","21.8404","18.4208","18.3143","22.4237","17.7595","28.7087","28.504","33.6646","30.9604","26.2763","36.8679","33.1701","25.2105","33.0909","21.2932","39.5365","33.4124","32.3174","33.2049","30.5265","36.2426","37.6234","39.0449","40.0323","39.2871","43.9615","44.2085","36.0901","45.3433","51.1606","46.3551","47.8202","47.6488","43.9112","45.7926","28.4893","44.5378","40.5882","45.636","26.3918","31.7989","36.0968","38.8407","37.522","41.6744","37.2601","37.8139","36.0996","37.0193","50.8657","37.9947","30.3336","26.616","48.2484","56.0719","62.5956"
40,"AUT","Austria","35.8907","35.8516","37.1819","38.861","31.7507","42.1187","45.5091","47.0276","48.1655","44.0607","48.2097","45.5525","52.0941","55.1248","51.692","57.5136","54.8297","58.668","51.4935","62.1719","56.0427","65.5646","68.154","72.311","72.9383","67.186","68.6595","74.6624","71.4226","77.2459","74.8611","70.3355","68.9719","73.0285","70.0384","66.6611","75.3045","75.1202","76.3296","67.3731","74.1208","72.1604","64.845","81.5492","75.0607","70.6084","72.3003","85.5617","79.0098","75.7602","88.119","73.9102","74.5789","89.996","77.4653","89.7308","79.0314","76.744","84.7176","87.4938","85.6097","85.8011","86.582"
31,"AZE","Azerbaijan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26.3974","22.3003","20.4571","18.5929","19.7904","16.0855","14.4934","15.3872","20.0626","24.6442","26.566","26.0719","27.9227","30.1013","27.9298","26.1674","29.3429","32.9138","23.7678","28.8246","31.4374","31.8921","26.2479","31.3188","32.6756","33.6579","37.4591","41.011","39.3428","39.0605","38.4438","38.0341"
44,"BHS","Bahamas","12.3186","12.7408","13.204","13.5649","13.9652","18.5524","22.9345","20.9979","18.8641","26.7109","16.8307","31.8039","30.9421","32.4223","35.9485","43.6425","39.1518","33.7296","34.6617","33.6947","41.2942","41.5098","32.87","40.0616","34.0125","31.0999","31.8803","36.5602","41.837","43.705","36.8244","31.877","37.5226","43.9214","35.995","40.3809","36.2318","41.0601","43.2766","43.1019","48.5741","41.0469","40.4153","41.831","41.8015","45.5244","47.0066","47.2449","46.2294","53.4771","49.1668","49.071","49.1981","51.516","52.301","52.2888","52.5906","52.778","53.116","53.3839","53.3238","53.4573","53.6566"
48,"BHR","Bahrain","11.2269","11.4818","11.608","11.608","11.647","10.5568","10.6674","10.7239","10.8015","10.9009","11.1512","11.332","11.3331","12.4622","17.6293","23.4336","28.9519","28.6841","27.5388","27.9253","13.0856","10.6181","10.7366","10.9366","12.3064","13.132","14.5754","14.7996","14.732","9.3156","10.2046","11.2976","12.0623","14.1976","16.353","16.9239","16.632","23.947","22.9785","18.4698","17.4647","16.8458","16.7233","17.1841","15.3219","26.6545","22.2046","21.2296","22.1726","22.3874","22.0212","24.0432","24.5984","24.7146","25.1829","26.9487","23.8796","24.6151","25.5642","26.3","23.7966","24.8803","25.8718"
50,"BGD","Bangladesh","25.7639","24.4168","28.2094","28.1032","28.282","27.1226","30.9557","31.3457","32.9381","31.0488","28.5291","27.1176","30.5715","29.8378","33.2516","31.4626","34.362","35.0143","34.8569","37.7043","37.8158","39.0226","40.2784","40.27","41.8939","41.3747","41.0191","40.1965","44.0148","44.3689","46.0115","50.3772","50.8772","48.4095","50.5485","53.5769","53.7811","56.0745","62.7435","67.2983","65.0911","67.0968","68.3956","65.2446","73.1944","73.217","77.5426","83.9128","85.0659","89.075","92.3499","92.916","95.949","98.5651","98.9469","97.0897","104.4366","104.3181","102.3887","103.8924","107.661","109.733","113.3116"
52,"BRB","Barbados","310.421","323.8705","377.3526","331.5627","387.403","349.2803","408.6072","309.2842","285.7473","324.0749","276.3263","239.0953","233.1631","213.8893","190.8448","206.1366","234.3323","202.3849","235.8137","269.7819","216.8969","182.3101","161.272","183.5656","178.7656","204.1442","156.956","158.5489","128.686","138.8636","134.4842","121.602","102.769","107.1885","86.421","124.0028","131.042","105.3545","128.0294","133.4213","104.5154","110.5725","98.9208","103.6699","125.5334","101.411","102.3202","90.3861","102.8245","83.3118","98.5811","98.8483","73.8474","72.3284","62.2458","55.4738","76.9889","86.4719","57.7288","60.8678","60.7288","64.3829","53.3435"
112,"BLR","Belarus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29.3912","31.6232","24.3361","23.6406","25.386","26.4284","21.483","17.2747","22.3854","24.3843","27.4329","26.6336","34.197","30.8359","29.2454","33.8912","42.4058","40.3514","33.5026","36.8054","42.7012","35.6533","43.2032","37.5384","32.4295","36.5149","28.4015","33.1594","38.7831","33.7619","37.7183","36.2898"
56,"BEL","Belgium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"91.8299","85.6916","97.2482","94.3608","104.2205","97.7646","94.2869","96.7717","99.9673","107.4144","102.6175","104.6162","105.1543","106.4728","112.9947","105.4507","81.3852","101.2736","87.1014","97.9464","90.134","87.5273","94.2763","95.0657"
84,"BLZ","Belize","27.7136","23.5182","23.5166","31.8092","34.7108","41.7963","54.6103","62.7768","52.9861","67.0882","63.0069","65.1681","68.7858","76.7075","70.2918","58.782","82.4353","97.0912","83.983","85.8284","82.4123","90.7604","90.5624","83.2668","79.6618","70.5281","59.9635","55.8267","61.2532","65.0844","65.226","62.986","57.6186","61.9699","57.1057","60.885","65.1103","61.9655","63.2997","66.8039","64.9139","69.1031","70.1303","82.548","77.6187","87.5056","89.3407","76.8386","74.5042","83.0931","69.9794","73.9582","78.9559","84.94","67.5936","69.9092","78.3713","76.5807","73.7431","68.4851","80.8741","83.3414","73.778"
204,"BEN","Benin","12.2015","11.5085","10.951","10.8083","11.1018","10.3183","11.6742","11.7777","10.8743","11.356","11.106","11.0672","11.6655","10.0804","8.9862","9.8107","9.9593","11.2779","11.3643","9.8391","9.4032","9.5354","9.7704","13.9675","13.8839","15.4262","11.9263","15.5691","15.7594","17.0378","19.12","18.3739","22.2236","21.7155","23.5015","24.386","23.165","21.756","22.3277","21.795","22.0022","23.2893","21.8949","23.8983","19.1493","19.3048","20.8514","20.9827","20.775","21.9837","24.4735","23.645","25.0309","26.7896","23.9498","29.8568","31.2632","32.5728","32.0633","33.6818","33.8334","30.101","35.5777"
60,"BMU","Bermuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,"BTN","Bhutan","14.3669","14.8174","15.2594","15.6652","15.931","16.3494","16.8078","17.1931","17.5981","16.5767","16.9817","17.251","17.6473","17.4049","17.7873","17.3255","17.7473","18.179","18.0455","18.2706","18.991","19.0209","18.7943","20.4157","18.8011","18.5405","17.306","12.9605","13.7003","16.1473","14.2906","14.64","15.8566","16.5851","17.3483","17.7319","17.9621","17.6502","16.4437","11.6976","12.5924","10.9098","12.2354","16.0113","21.7638","23.5656","26.1147","29.4725","24.9334","25.0258","32.4847","28.4798","28.6258","28.7363","28.8764","32.4784","35.7274","25.3357","23.5828","23.9879","17.8265","14.9312","14.4613"
68,"BOL","Bolivia","9.0431","9.1493","10.4748","10.514","10.5622","10.4254","10.4862","11.6467","11.8224","11.8498","11.7927","13.2875","16.5105","15.8418","16.4246","17.0076","16.2642","16.6224","16.1513","15.7855","16.9124","16.9406","12.1388","16.5067","18.6461","19.1308","17.6945","17.8199","20.2142","22.3921","26.5355","24.329","28.9285","32.19","34.3136","33.6384","33.1486","34.9833","31.6211","34.2539","34.3723","35.3968","38.6195","37.8596","38.0114","37.4977","36.2954","32.8447","41.9735","36.224","36.8237","46.1609","47.849","46.0785","50.2805","52.1416","47.1428","51.5219","48.3719","47.1409","52.9333","50.0129","53.6297"
70,"BIH","Bosnia and Herzegovina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23.6073","21.956","19.7064","17.148","17.769","24.7371","25.687","25.6041","18.8585","21.0322","24.0197","16.3163","25.7608","24.3473","24.2362","20.2354","24.9622","25.3719","20.3933","21.2815","18.3643","23.0627","19.7983","21.2129","28.6378","21.3327","30.0569","28.8684","33.5809","26.4381","69.5046","58.9628"
72,"BWA","Botswana","4.4766","2.2584","2.4464","2.7941","2.6637","3.1446","4.3612","3.1257","4.0743","2.3441","5.962","4.8353","3.3364","6.1124","4.7757","6.6825","5.2458","3.9736","2.9649","4.215","4.4917","3.141","2.903","2.5688","3.0594","3.1018","3.0851","6.0154","5.0671","3.3962","4.6184","3.8562","3.7634","3.7482","4.538","5.8218","4.6192","4.3622","4.6705","3.4084","6.0167","5.5108","7.2481","5.5689","6.5771","7.1634","6.9704","5.4381","5.0786","6.6618","7.0165","5.1653","4.1286","4.0684","6.3438","6.4019","4.8753","8.8005","6.3585","14.2895","10.5898","12.7033","8.9899"
76,"BRA","Brazil","23.8173","25.1633","24.9111","24.5982","28.4831","27.0466","28.86","28.5766","29.0076","30.5265","31.7088","32.2828","33.9993","38.1085","38.742","38.8405","40.2526","33.5228","33.9834","38.62","38.7082","38.4817","39.2503","42.182","47.5249","43.1987","50.0357","52.6652","58.2549","53.2053","51.3203","59.2758","61.2304","70.5245","74.6382","68.6675","73.4204","77.1884","77.6313","78.2595","85.9168","89.3917","103.5216","101.8471","100.1962","103.6826","115.5752","125.5141","122.0545","134.5533","143.3171","134.9347","152.3246","155.5826","165.5667","159.7541","181.1049","181.9207","184.484","192.8744","198.2331","192.6785","228.0583"
92,"VGB","British Virgin Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,"BRN","Brunei Darussalam","7.3474","7.64","6.4353","4.9795","4.5885","5.3587","6.9277","6.6348","7.6495","7.4761","8.399","8.7053","11.3794","15.1299","15.0417","13.2425","12.3434","11.5642","12.5185","10.3172","10.1572","12.4588","13.6282","12.9154","6.9705","7.894","7.1913","8.5407","7.8954","7.7264","8.4184","7.7893","8.7132","9.0874","9.7292","10.3973","10.2411","9.8852","10.3645","12.5143","11.2568","11.9118","12.0532","12.1594","11.6683","10.0471","10.4508","10.4549","9.5945","10.5082","11.4231","11.4922","11.5134","11.9263","12.5926","12.5549","12.3557","11.9176","11.7415","13.215","13.3244","12.7669","13.0294"
100,"BGR","Bulgaria","23.3349","24.4342","24.649","28.2617","29.116","36.6933","35.2259","28.725","32.0708","34.5453","35.733","40.2926","37.2801","34.7022","39.8965","43.3501","39.7737","40.395","43.7655","41.41","46.1343","53.0172","41.5315","48.9903","31.4956","45.1677","40.2258","42.657","50.2129","44.0951","45.399","34.7609","29.8542","34.5398","36.0561","19.5265","30.3768","32.4493","30.9597","27.3638","36.9571","42.7708","27.8811","48.7928","40.8456","41.5689","28.8192","54.4203","49.1183","56.8424","56.8075","50.7363","63.7814","66.4687","59.5927","63.9183","69.6016","68.9346","72.5065","57.1808","76.0089","68.5586","68.0031"
854,"BFA","Burkina Faso","6.1783","7.3216","7.5026","8.4708","7.9802","8.4581","8.515","9.532","9.246","9.21","7.9225","7.8749","7.4623","9.6059","11.192","9.7102","9.9035","10.9008","11.4495","10.1518","11.8603","11.7827","11.3092","10.8884","14.725","16.9842","14.3238","16.7986","15.081","12.836","17.7459","16.5278","16.2492","15.0988","14.3241","15.9052","14.4645","17.8972","17.0347","12.7496","19.562","19.3683","21.6475","18.1835","22.5562","22.4248","16.059","24.3574","19.1472","22.4937","17.8325","22.4676","23.8025","23.8808","21.9007","22.7077","20.8807","21.1221","22.8739","24.0521","20.2941","23.0024","23.3316"
108,"BDI","Burundi","20.833","19.9277","19.1531","20.8987","20.2122","20.3326","20.7228","21.0044","16.8837","18.5342","19.1677","17.5132","18.6885","15.9439","18.8322","19.1327","19.1728","18.5083","18.5825","19.0062","20.3179","19.4653","19.5012","18.0113","21.4619","22.0848","22.6061","22.883","19.6006","23.2927","24.3478","24.7567","24.089","18.8048","22.2871","21.3382","21.227","20.4558","19.4558","18.4713","21.3509","23.068","20.364","22.6173","20.2145","21.905","20.257","20.9","20.7512","22.0603","21.246","19.575","23.8319","22.1949","23.2659","26.8979","24.8688","27.0568","33.8186","37.874","47.0315","45.3553","41.5602"
132,"CPV","Cabo Verde","13.005","14.2916","14.7222","15.34","16.9671","18.1274","17.8641","11.2122","10.2021","6.9328","6.4288","5.9373","6.0423","6.7948","7.3407","8.4667","7.2694","8.073","10.6125","15.5253","8.2751","9.1498","8.2478","10.5967","8.1464","14.1951","23.0041","19.3917","17.6627","15.2238","12.032","11.1071","10.7117","8.968","8.5759","9.2638","7.5886","8.0261","16.9006","18.4143","16.4977","12.5056","14.2006","13.3525","11.8668","12.5117","12.0973","12.0599","11.141","11.0333","11.6591","12.5081","12.6602","11.2754","13.9182","12.3084","10.8191","8.1127","8.5555","8.9246","9.1635","9.2178","8.6993"
116,"KHM","Cambodia","13.6442","11.6835","14.3338","14.9602","13.4925","13.0737","13.8178","17.478","14.7529","20.4055","23.1981","17.1514","11.1053","8.0561","10.8396","10.8721","10.2877","9.4669","6.1903","13.0069","11.9913","14.5665","15.3448","10.433","12.514","12.3752","9.7878","11.1209","10.9891","10.5582","10.4213","10.0062","10.3293","9.8122","13.7241","13.7041","14.1356","13.8549","16.0443","16.0587","16.3047","15.6455","19.7965","18.8636","26.1148","27.155","29.5226","32.0193","34.9408","37.1998","40.1753","41.8298","41.9144","42.7844","41.9974","44.0154","46.8519","47.5226","44.8298","44.4964","46.7854","46.2897","50.6322"
120,"CMR","Cameroon","5.4977","5.808","6.2851","6.3255","6.2554","6.3789","6.5351","6.8718","7.3685","7.3507","7.4093","7.6589","7.5655","8.1195","8.6064","7.8835","7.8001","7.3217","7.5222","7.5973","7.6024","7.8024","7.4938","7.0602","7.6466","8.6224","7.1853","8.1135","7.6879","7.9519","8.2797","8.3624","8.6379","9.1377","10.2472","11.1538","10.5249","11.356","11.4236","11.8167","12.084","12.5015","13.2564","13.1873","16.2416","17.0954","18.2315","18.1483","19.3513","20.4347","20.3601","21.6246","22.2368","22.8932","24.5718","25.3183","25.4807","26.8382","27.3576","27.7256","25.829","26.4037","26.8668"
124,"CAN","Canada","10.3685","17.1719","19.7176","16.5592","18.7705","21.9315","16.9096","19.3707","20.3764","17.3562","22.3849","20.0008","20.6677","17.4416","21.103","23.833","23.8976","24.7688","21.8346","23.2161","27.0077","29.0272","26.1275","24.5732","27.3815","32.1006","29.8832","22.0091","27.392","32.2057","31.7833","29.8342","33.0298","33.3608","34.0815","36.7206","34.9035","37.1553","39.9027","38.0733","29.8178","26.0663","35.0728","39.3004","41.7381","40.4001","39.3429","48.567","46.9246","45.9556","48.2215","50.8936","63.9544","55.3012","57.4762","63.1092","63.763","62.8929","62.6439","66.3265","48.2294","63.5609","59.4791"
136,"CYM","Cayman Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,"CAF","Central African Republic","4.7336","4.9892","4.8696","4.8167","4.8824","5.1622","5.8279","6.0724","6.2588","6.0258","5.8589","6.2042","6.1788","6.9135","6.7139","6.6775","6.3576","5.8555","6.4986","6.3694","6.433","6.87","6.5666","6.1376","6.0056","6.9553","5.846","6.3534","6.3526","6.0867","5.3311","5.5114","5.3949","6.0136","6.4318","7.1601","7.6008","7.6426","7.3302","7.481","8.1606","7.7097","7.4659","7.7466","7.9317","8.1527","8.5679","8.6702","9.1144","15.697","16.1665","16.6883","12.6476","14.435","14.5403","16.7845","17.0974","16.4363","15.8504","17.0391","17.7786","18.0765","18.2969"
148,"TCD","Chad","8.2851","9.2073","10.7356","9.8026","9.0926","9.3693","9.0091","10.217","9.6272","8.63","8.5795","7.3158","7.4526","8.9605","9.2534","8.5914","8.5755","8.6864","7.5138","7.4692","6.0853","6.5638","8.0622","6.3522","8.7989","7.9765","8.0691","9.8554","9.277","8.7791","10.9839","10.8615","8.2665","12.0984","11.5621","12.7446","13.7717","15.4896","14.026","12.9956","16.0044","14.1998","15.7042","13.887","17.1639","15.881","16.0039","16.4935","13.5251","25.2071","14.3922","25.2191","18.8972","18.7107","17.3209","19.852","17.6937","18.6835","19.9796","19.2066","18.3135","18.9409","17.713"
152,"CHL","Chile","11.7673","11.3288","12.4223","12.7726","12.373","14.3155","13.9617","14.1888","12.1583","13.5478","14.0616","13.2461","9.6326","11.4064","11.8825","11.2522","14.6845","12.1123","14.3475","13.7726","13.384","13.2312","12.3844","16.5795","18.2971","21.5159","24.3853","24.9903","26.2065","27.4498","28.4177","32.144","30.7697","31.4441","35.2649","34.8209","38.3242","39.4262","34.5801","39.2462","44.3981","47.4177","52.4611","55.4092","57.2535","56.2006","48.3051","50.4697","47.1944","54.6915","57.6406","52.4252","58.1925","51.9464","53.9771","56.7311","53.0341","58.0123","53.8933","49.2919","47.8967","48.4899","45.7766"
156,"CHN","China","29.0827","31.7394","34.027","37.6736","39.9147","43.4264","44.4181","43.3338","43.0382","48.1763","49.4469","47.2613","53.1077","53.6318","55.7708","55.3812","54.7251","61.6025","64.6591","63.8862","67.0038","70.183","72.8833","74.6969","65.9721","66.2384","68.4513","66.9616","66.6571","72.9182","72.7852","74.3007","78.1335","78.414","81.7439","86.121","87.5553","89.0626","88.9484","87.8423","88.1026","89.2426","85.9472","93.1204","94.0042","96.3661","97.5719","102.919","101.7414","103.955","109.1847","112.6722","114.302","115.9918","121.7329","121.772","125.1492","126.7293","131.9695","131.8002","132.7122","135.5098","136.5802"
170,"COL","Colombia","22.6778","24.6234","22.4313","24.4704","23.5572","24.1553","25.0708","27.0888","27.2214","27.7346","28.0798","30.4512","30.7209","33.9371","37.6452","37.1472","38.015","40.9685","41.9975","43.5256","41.605","39.2817","39.3275","39.3941","40.942","41.6105","42.2281","45.0179","47.4492","51.7553","54.9794","52.5823","51.5947","51.8573","57.0621","62.9722","61.2012","56.5017","58.0006","56.4836","62.362","72.8312","77.5047","81.5963","82.2715","84.5222","81.5966","80.7743","84.6995","78.2648","80.9144","80.3321","84.1391","85.3228","82.791","80.2008","66.5837","66.0432","66.0684","66.9368","63.6179","64.6887","63.2861"
