"code","iso","country","KFA.raw.2000"
484,"MEX","Mexico",17279763.589092
583,"FSM","Micronesia",NA
498,"MDA","Moldova",50608.8185332018
492,"MCO","Monaco",NA
496,"MNG","Mongolia",756612.633694544
499,"MNE","Montenegro",62931.0573373572
504,"MAR","Morocco",143501.960669833
508,"MOZ","Mozambique",5316903.85372528
104,"MMR","Myanmar",9339431.31930556
516,"NAM","Namibia",851.54491065612
520,"NRU","Nauru",NA
524,"NPL","Nepal",956682.918158167
528,"NLD","Netherlands",165780.562012956
540,"NCL","New Caledonia",364171.939010413
554,"NZL","New Zealand",192148.299181589
558,"NIC","Nicaragua",1852984.5029334
562,"NER","Niger",NA
566,"NGA","Nigeria",1150276.95706251
570,"NIU","Niue",NA
408,"PRK","North Korea",105484.20732153
807,"MKD","North Macedonia",178862.887509867
578,"NOR","Norway",142769.698407635
512,"OMN","Oman",NA
586,"PAK","Pakistan",65586.9092093767
585,"PLW","Palau",NA
591,"PAN","Panama",2009792.15097539
598,"PNG","Papua New Guinea",6430571.75701947
600,"PRY","Paraguay",2505068.81975002
604,"PER","Peru",35038077.2830478
608,"PHL","Philippines",6657401.4448603
616,"POL","Poland",3150536.88656946
620,"PRT","Portugal",365305.541813897
634,"QAT","Qatar",NA
178,"COG","Republic of Congo",41989678.0691322
642,"ROU","Romania",1739381.89582551
643,"RUS","Russia",21859619.4847375
646,"RWA","Rwanda",190904.376099997
652,"BLM","Saint Barthelemy",NA
659,"KNA","Saint Kitts and Nevis",5531.99373705872
662,"LCA","Saint Lucia",20714.9133162422
882,"WSM","Samoa",NA
674,"SMR","San Marino",NA
678,"STP","Sao Tome and Principe",1103.17469254532
682,"SAU","Saudi Arabia",NA
686,"SEN","Senegal",8526.38372823959
688,"SRB","Serbia",650293.659496811
690,"SYC","Seychelles",6138.86642915417
694,"SLE","Sierra Leone",377861.683497096
702,"SGP","Singapore",8475.81110377681
534,"SXM","Sint Maarten",NA
703,"SVK","Slovakia",964769.953254214
705,"SVN","Slovenia",377002.856020013
90,"SLB","Solomon Islands",1295702.3303014
706,"SOM","Somalia",30595.1704562401
710,"ZAF","South Africa",2931817.33034638
410,"KOR","South Korea",592.072942410512
728,"SSD","South Sudan",1275249.9693598
724,"ESP","Spain",4509776.38484861
144,"LKA","Sri Lanka",447215.806008447
670,"VCT","St. Vincent and the Grenadines",19558.2759088353
275,"PSE","State of Palestine",NA
729,"SDN","Sudan",9.08819893414442
740,"SUR","Suriname",4465731.06076117
752,"SWE","Sweden",578135.423623581
756,"CHE","Switzerland",236169.837289843
760,"SYR","Syria",48876.4813276143
158,"TWN","Taiwan",569575.850882422
762,"TJK","Tajikistan",3162.62133479684
834,"TZA","Tanzania",6498876.97623333
764,"THA","Thailand",5835137.27095039
626,"TLS","Timor-Leste",264287.186913062
768,"TGO","Togo",46648.2366833317
776,"TON","Tonga",NA
780,"TTO","Trinidad and Tobago",96810.8714857282
788,"TUN","Tunisia",36275.1073600887
792,"TUR","Turkiye",3790617.73303637
795,"TKM","Turkmenistan",7443.13035572488
796,"TCA","Turks and Caicos Islands",1340.54704378901
798,"TUV","Tuvalu",NA
800,"UGA","Uganda",1474289.27578572
804,"UKR","Ukraine",1210290.40102495
784,"ARE","United Arab Emirates",NA
826,"GBR","United Kingdom",393806.498594306
840,"USA","United States of America",13561880.155531
858,"URY","Uruguay",506662.061932887
860,"UZB","Uzbekistan",49231.9772169056
548,"VUT","Vanuatu",394845.309440766
862,"VEN","Venezuela",18661323.6835012
704,"VNM","Viet Nam",2867873.63647749
876,"WLF","Wallis and Futuna Islands",NA
732,"ESH","Western Sahara",NA
887,"YEM","Yemen",NA
894,"ZMB","Zambia",1941022.37071547
716,"ZWE","Zimbabwe",132837.022362642
