"code","iso","country","PPC.raw.1996","PPC.raw.1997","PPC.raw.1998","PPC.raw.1999","PPC.raw.2000","PPC.raw.2001","PPC.raw.2002","PPC.raw.2003","PPC.raw.2004","PPC.raw.2005","PPC.raw.2006","PPC.raw.2007","PPC.raw.2008","PPC.raw.2009","PPC.raw.2010","PPC.raw.2011","PPC.raw.2012","PPC.raw.2013","PPC.raw.2014","PPC.raw.2015","PPC.raw.2016","PPC.raw.2017","PPC.raw.2018","PPC.raw.2019","PPC.raw.2020","PPC.raw.2021","PPC.raw.2022","PPC.raw.2023"
"434","LBY","Libya",8.1,8.08,5.25,6.65,3.39,8.7,5.69,2,3.58,3.37,3.76,3.05,2.63,3.86,5.03,7.72,7.98,4.8,3.24,1.84,1.61,2.79,1.84,2.23,2.4,1.44,1.79,3
"438","LIE","Liechtenstein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"440","LTU","Lithuania",2.78,5.09,5.19,5.68,5.71,5.76,8.71,9.08,9.48,9.63,11.93,12.07,6.88,10.43,11.3,11.89,13.05,14.06,15.16,15.91,17.74,19,18.33,18.81,19.5,19.76,13.53,13.19
"442","LUX","Luxembourg",NA,NA,NA,NA,NA,NA,4.02,3.97,4.5,4.67,3.61,3.53,2.21,1.99,2.33,2.28,2.23,2.17,2.12,2.08,1.93,1.96,1.38,1.26,1.29,1.35,0.85,0.84
"446","MAC","Macao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"450","MDG","Madagascar",0.32,0.2,0.18,0.14,0.18,0.17,0.1,0.05,0.1,0.24,0.1,0.13,0.11,0.08,0.09,0.07,0.1,0.09,0.16,0.1,0.17,0.15,0.17,0.21,0.24,0.18,0.1,0.13
"454","MWI","Malawi",1.38,1.19,1.1,1.5,1.01,0.47,1.52,1.7,1.9,1.53,1.82,1.87,0.89,1.43,1.19,0.92,1.3,1.58,0.7,1.57,0.82,1.33,1.03,1.06,1.64,1.75,0.95,2.15
"458","MYS","Malaysia",11.03,11.13,10.64,10.29,8.69,6.75,7.34,7.7,7.59,7.76,8.76,9.48,6.42,8.18,7.3,5.39,5.58,6.39,6.06,5.06,5.31,5.9,5.26,3.68,4.56,5.24,4.55,4.19
"462","MDV","Maldives",NA,NA,NA,NA,NA,NA,0.02,0.02,0.02,0.08,0.38,0.02,0.01,0.36,0.33,0.11,0.29,0.62,0.07,0.01,0.03,0.13,0.05,0.05,0.12,0.18,0.09,0.14
"466","MLI","Mali",0.84,1.13,1.45,1.43,1.17,1.18,1.54,1.33,1.29,1.22,1.37,1.07,0.47,1.16,1.81,0.37,0,0.71,1.57,2.37,3.12,1.77,1.72,2.24,1.39,0.61,0.29,0.3
"470","MLT","Malta",NA,NA,0.43,0.33,0.38,0.5,0.38,0.41,0.64,0.31,0.28,0.33,0.29,0.01,0.17,0.31,0.15,0.17,0.15,0.2,0.28,0.27,0.19,0.22,0.79,0.78,0.17,0.15
"584","MHL","Marshall Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"478","MRT","Mauritania",NA,0.08,NA,NA,NA,NA,0.16,0.19,0.13,0.15,0.26,0.16,0.13,0.17,0.24,0.13,0.23,0.19,0.18,0.23,0.27,0.34,0.29,0.26,0.3,0.24,0.19,0.18
"480","MUS","Mauritius",6.82,5.91,5.02,4.73,5.01,3.34,3.25,3.3,3.22,4.64,2.68,1.79,4.68,2.15,1.81,1.79,2.72,2.55,3.19,2.42,3.33,3.45,1.89,1.98,1.73,2.51,0.9,NA
"484","MEX","Mexico",3.34,2.73,3.09,3.15,3.19,3.21,3.16,3.14,3.6,3.6,3.37,2.6,1.63,2.47,2.67,2.44,2.57,2.81,3.39,3.82,4.11,3.43,4.06,4.6,2.96,4.96,2.9,3.08
"583","FSM","Micronesia",NA,NA,NA,NA,NA,NA,0,0,0.02,0.01,0.01,0.01,0.01,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0,0,0.02,0.04
"498","MDA","Moldova",9.12,0.11,0.02,0.02,0.02,0.2,0.05,0.1,0.2,0.33,0.48,0.52,0.45,0.44,0.66,0.83,1.61,2.43,1.36,4.05,5.3,8.95,7.58,9.11,6.36,6.42,4.39,5.66
"492","MCO","Monaco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"496","MNG","Mongolia",NA,0.42,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.01,0.01,0.01,0.01,0,0,0.04,0.6,0.52,0.2,0.27,0,0,0.09,0,0
"499","MNE","Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.24,1.08,1.04,0.74,0.93,0.79,0.75,0.93,0.87,0.81,0.99,0.89,0.81,0.95,1.12,1.18,0.55,0.75
"504","MAR","Morocco",4.07,3.6,3.55,3.71,3.83,3.82,7.99,7.42,3.64,3.77,3.31,3.62,3.07,3.42,6.18,6.33,7.47,6.92,6.64,6.47,4.12,4.47,3.69,3.33,2.74,2.72,2.69,2.66
"508","MOZ","Mozambique",0.02,0.15,0.09,NA,0.19,0.11,0.11,0.07,0.18,0.02,0.14,0.05,0.47,0.21,0.11,0.32,0.15,0.1,0.22,0.19,0.09,0.15,0.14,0.32,0.26,0.35,0.04,0.49
"104","MMR","Myanmar",0.76,0.8,0.78,0.65,0.77,0.34,0.18,0.51,1.2,0.17,0.38,1.43,0.28,0.1,0.21,0.66,0.42,0.26,0.28,0.29,0.6,1.81,2.82,3.44,2.67,0.92,1.64,1.65
"516","NAM","Namibia",NA,NA,NA,0.11,0.11,0.11,0.08,0.11,0.18,0.15,0.11,0.14,0.01,0,0.18,0.12,0.44,0.29,0.26,0.25,0.37,0.29,0.4,0.49,0.02,0.02,0.03,0.19
"520","NRU","Nauru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.01,0,0,0.04,0,0
"524","NPL","Nepal",1.1,1.23,1.36,1.26,0.74,0.98,0.61,0.2,0.34,0.19,0.15,0.05,0.01,0.43,0.37,0.78,0.34,1.25,1.52,1.68,1.68,1.44,1.73,1.96,2.55,2.2,1.2,1.2
"528","NLD","Netherlands",4.16,3.82,3.92,3.64,3.36,3.34,2.95,3.2,3.1,2.95,2.93,2.18,1.61,0.59,1.83,0.89,1.36,0.54,0.54,0.53,0.85,0.74,0.74,0.67,0.77,0.72,0.63,0.52
"540","NCL","New Caledonia",4.88,4.77,1.4,1.37,1.34,1.32,2.29,6.78,1.54,2.24,1.74,2.02,1.5,0.58,0.87,1.18,1.29,1.33,1.46,1.4,1.4,1.4,1.4,1.4,1.39,1.39,1.38,1.37
"554","NZL","New Zealand",103.23,100.37,98.65,105.07,118.37,123.39,86.81,91.48,94.03,107.62,91.58,88.79,77.2,52.74,60.26,66.4,65.51,60.85,66.55,63.07,57.05,63.17,63.25,61.33,59.37,52.27,66.06,37.31
"558","NIC","Nicaragua",2.24,1.85,1.84,1.9,2.13,0.44,2.79,3.86,3,2.04,1.2,2.49,1.87,1.11,0.59,2.49,1.66,2.02,2.17,2.83,2.51,3.5,2.15,2.09,2.96,2.34,1.82,2.28
"562","NER","Niger",0.2,NA,NA,0.13,0.1,0.08,0.15,0.1,0.05,0.12,0.15,0.15,0.02,0.06,0.12,0.11,0,0.13,0.09,0,0.01,0.01,0.03,0.03,0.03,0.03,0.04,0.13
"566","NGA","Nigeria",0.29,0.18,0.33,0.28,0.35,0.31,0.1,0.16,0.13,0.14,0.54,0.26,0.29,0.22,0.43,0.24,0.33,0.1,0.21,0.27,0.31,0.72,0.66,0.65,0.49,0.59,0.35,0.2
"570","NIU","Niue",NA,NA,NA,NA,NA,NA,0,0.15,0,1.97,0,0,0.01,0.01,0.01,0.15,0.72,0.71,0.52,0.13,0.68,0.06,0.33,0.34,0.46,0.02,0.09,0
"408","PRK","North Korea",0.87,0.91,1.12,2.6,2.2,2.27,0.85,0.87,1.27,0.87,0.01,0,0.01,0,0,0.01,0.01,0.11,0.1,0.06,0.18,0.29,0.14,0.46,0.06,0.45,0,0
"807","MKD","North Macedonia",3.48,4.54,4.66,5.13,5.69,2.27,1.67,1.67,1.66,2.59,2.13,2.59,2.07,1.64,2.2,2.19,1.81,2.72,2.74,2.38,3.03,2.23,2.15,2.38,3.59,1.92,1.36,1.96
"578","NOR","Norway",7.3,6.81,7,6.5,6.68,6.42,6.22,6.32,6.3,6.19,6.08,5.89,4.98,3.89,3.69,4.06,3.81,3.81,3.74,4.1,3.99,3.79,3.84,3.82,3.83,3.84,3.73,3.6
"512","OMN","Oman",0.42,0.44,0.33,0.37,0.44,0.71,0.55,0.6,0.54,0.57,0.59,0.48,0.69,0.62,0.71,0.47,0.43,0.41,0.57,0.56,0.8,0.76,0.69,0.68,0.77,0.65,0.44,0.45
"586","PAK","Pakistan",3.03,3.87,3.17,3.96,4.36,4.03,3.97,4.01,4.44,4.97,5.05,4.42,2.99,4.01,3.8,3.21,3.27,4.15,4.37,4.57,5.49,5.63,5.54,4.76,5.12,4.64,3.05,4.02
"585","PLW","Palau",NA,NA,NA,NA,NA,NA,0.49,2,1.43,0.74,0.99,0.22,0.27,0.02,0.2,0.03,0.03,0.37,0.23,1.04,0.4,0.22,0.01,0.01,0.01,0.02,0.02,0.02
"591","PAN","Panama",4.5,3.33,3.18,3.05,1.83,2.31,1.32,1.87,0.73,0.49,0.42,0.53,0.5,1.05,1.64,1.19,2.97,3.53,2.33,3.01,1.95,2.9,1.83,1.65,2.36,2.9,0.72,2.33
"598","PNG","Papua New Guinea",0.62,0.6,0.48,0.71,0.72,0.7,0.18,0.18,0.17,0.25,0.31,0.49,0.37,0.14,0.37,0.3,0.17,0.04,0.06,0.23,0.21,0.24,0.3,0.2,0.3,0.18,0.45,0.23
"600","PRY","Paraguay",1.07,4.59,5.99,5.18,5.08,4.57,13.01,17.76,21.11,19.07,21.05,25.19,20.66,20.47,24.54,30.65,25.91,29.96,32.27,31.97,35.69,33.78,34.47,33.03,34.67,37.79,25.16,33.73
"604","PER","Peru",1.35,1.81,1.84,1.67,1.69,2.75,1.84,2.27,2.6,2.33,3.03,2.3,1.56,3.45,2.96,3.19,2.55,2.45,2.65,2.58,2.84,3.2,2.36,2.71,3.53,1.77,1.31,1.79
"608","PHL","Philippines",2.02,2.01,1.56,1.83,1.56,1.83,1.56,1.53,1.5,1.56,1.66,2.25,0.85,0.69,0.96,1.54,0.8,1.97,1.31,1.25,1.48,1.93,1.21,1.59,1.84,2.28,3.52,1.78
"616","POL","Poland",8.08,7.55,8.05,7.75,8.31,8.36,7.92,8.43,8.5,11.59,10.82,12.16,9.88,9.25,10.72,9.7,9.78,8.92,7.93,8.52,8.97,8.85,8.98,9.39,8.44,8.46,7.4,5.45
"620","PRT","Portugal",7.55,6.63,6.99,6.75,6.13,5.99,5.57,5.17,4.87,4.67,4.86,6.45,3.89,2.5,3.92,2.8,3.15,3.79,4.06,4.45,4.21,3.98,3.77,3.69,3.7,4.13,2.58,3.51
"634","QAT","Qatar",NA,NA,NA,NA,NA,NA,0.11,0,0,0,NA,NA,NA,NA,NA,NA,0,0.44,0.27,0.12,0.15,0.22,0.26,0.37,0.46,0.38,0.37,0.36
"178","COG","Republic of Congo",0.35,0.35,0.34,0.33,0.32,0.19,NA,NA,0.01,0.01,0,0.02,0.02,0.17,0.02,0.03,0.03,0.08,0.02,0.04,0.05,0.07,0.05,0.06,0.16,0.18,0.1,0.16
"642","ROU","Romania",6.26,3.79,3.59,2.08,2.54,3.95,3.35,4.4,4.4,6.51,4.46,4.95,4.94,4.89,6.04,6.22,5.61,5.67,5.94,6.68,6.38,7.36,9.61,10.32,9.67,12.34,10.36,10.98
"643","RUS","Russia",2.54,2.16,1.9,1.49,1.91,2.14,2.15,2.08,2.28,2.4,2.56,2.84,3,2.74,3.04,2.96,2.92,3.03,3.22,3.22,3.5,4.03,4.1,4.1,4.69,5.18,5.01,5.14
"646","RWA","Rwanda",0.01,0.03,0.01,0.01,0.01,0.01,0.09,0.09,0.07,0.12,0.16,0.44,0.44,0.05,NA,0,0.26,0.39,0.41,0.63,0.49,1.02,0.63,1.19,1.29,1.14,1.06,1.03
"652","BLM","Saint Barthelemy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"659","KNA","Saint Kitts and Nevis",8.49,11.51,11.36,11.21,11.05,10.93,0.3,0.3,0.3,0.3,0.52,0.3,0.51,0.3,0.3,0.3,0.3,0,0.81,0.3,0.29,0.2,0.2,0.2,0.21,0.21,0.21,0.21
"662","LCA","Saint Lucia",0.01,0.02,0.06,2.66,3.8,NA,1.05,2.7,0.87,1.07,0.83,0.21,0.01,0.51,0.31,0.31,1.35,0.41,0.95,0.78,0.68,0.77,0.76,1.03,0.64,0.65,0.65,0.65
"882","WSM","Samoa",NA,NA,NA,NA,NA,NA,0.02,0.06,0.08,0.07,0.04,0.06,0.08,0.07,0.03,0.03,0.01,0.04,0,NA,0.15,0.04,0.11,0.09,0.04,0.08,0.08,0
"674","SMR","San Marino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"678","STP","Sao Tome and Principe",NA,NA,NA,NA,NA,NA,0.17,0.15,0.18,0.1,0.13,0.1,0.11,0.09,0.14,0.16,0.14,0.13,0.13,0.12,0.15,0.18,0.16,0.19,0.17,0.16,0.23,0.23
"682","SAU","Saudi Arabia",9.98,9.11,8.11,8.27,8.48,8.32,7.38,7.35,7.07,5.84,6.38,6.08,3.18,2.89,3.3,3.37,3.44,3.24,3.13,3.37,3.07,3.02,3.06,3.05,2.64,2.42,2.5,2.44
"686","SEN","Senegal",1.06,1.16,1.16,1.58,1.1,0.69,0.89,0.98,1.04,1.04,0.29,0.29,0.34,0.31,0.22,0.04,0.64,0.78,0.72,1.04,1.07,2.5,0.75,0.49,1,0.43,0.2,0.2
"688","SRB","Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.08,12.83,8.94,12.06,9.91,12.77,15.97,13.01,7.32,7.45,10.82,6.46,3.12,5.5,14.39,5.54,10.77,11.1
"690","SYC","Seychelles",NA,NA,NA,0.07,0.13,0.06,NA,0.01,0.05,0.11,NA,NA,0.1,0.12,0.05,0.05,0.2,0.11,0.03,0.32,0.11,0.2,0.1,0.29,0.13,0.13,0.17,0.2
"694","SLE","Sierra Leone",0.24,0.24,0.02,0.01,0.01,0.02,0.2,0.03,0.02,0.02,0.02,0.04,0.02,0.05,0.05,0.04,0.08,0.1,0,0,0.11,0.29,0.12,0.11,0.11,0.11,0.11,0.1
"702","SGP","Singapore",0.05,0.03,0.22,0.19,0.17,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"534","SXM","Sint Maarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"703","SVK","Slovakia",3.9,3.31,3.81,2.44,3.57,3.57,3.3,3.02,3.36,3.13,3.73,3.42,2.74,2.44,2.81,3.55,3.8,3.79,4.19,3.98,4.48,4.27,4.72,4.79,5.03,5.49,4.36,3.3
"705","SVN","Slovenia",8.81,8.84,9.49,9.97,9.25,8.39,7.51,7.54,7.17,6.59,6.48,6.29,5.87,3.61,4.79,4.45,4.33,4.33,4.44,4.58,4.44,4.43,4.41,3.89,4,3.45,2.59,3.69
"90","SLB","Solomon Islands",NA,NA,NA,NA,NA,NA,0.01,0.02,0.02,0,0.01,0,0,0.01,0,0.01,0.04,0,0,0.16,0.3,1.17,0.83,0.04,0.02,0.02,0.03,0
"706","SOM","Somalia",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.02,0.03,0.01,0.02,0.01,0,0
"710","ZAF","South Africa",5.67,4.93,4.72,4.86,3.97,4.95,4.68,4.14,4.65,3.22,4.08,3.81,3.62,3.5,3.29,3.51,3.53,4.9,4.75,4.64,4.1,4.65,5.41,5.46,4.74,5.67,5.15,4.73
"410","KOR","South Korea",4.58,4.85,4.07,3.84,3.46,3.26,3.53,3.44,3.51,3.39,2.13,2.68,1.86,2.91,2.84,2.76,2.94,2.85,2.8,2.71,2.75,2.73,2.78,2.79,1.61,1.62,1.66,1.51
"728","SSD","South Sudan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.01,0.01,0,0,0,0
"724","ESP","Spain",14.44,14.57,16.13,15.75,13.85,14.64,14.49,14.45,13.62,11.68,10.12,12.18,5.87,5.67,7.19,7.72,8.01,9.24,8.53,8.82,8.88,9.31,9.05,10.12,10.21,8.21,5.06,5.09
"144","LKA","Sri Lanka",1.95,1.65,1.56,1.78,1.58,1.6,1.78,1.88,1.7,1.82,2.5,2.41,3.35,2.53,2.43,2.97,2.96,2.05,2.9,1.81,1.31,0.88,1.84,1.78,2.27,0.61,0.6,0.6
"670","VCT","St. Vincent and the Grenadines",8.84,8.84,11.49,11.47,11.45,11.45,0.26,0.14,0.08,0.15,0.23,0.25,0.33,0.21,0.42,0.32,0.99,0.42,0.39,0.38,0.34,0.29,0.54,0.28,0.22,0.23,0.17,0.17
"275","PSE","State of Palestine",NA,NA,NA,NA,NA,NA,1.22,1.08,1.04,1.09,1.07,0.97,0.74,0.79,0.44,0.46,0.51,0.63,0.53,0.56,0.74,0.7,0.53,0.64,0.6,0.41,0.4,0.39
"729","SDN","Sudan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.96,0.08,0.94,0.19,0.23,0.11,0.61,0.22,0.84,0.56,0.55,0.54
"740","SUR","Suriname",0.23,0.22,1.75,NA,NA,NA,0.24,0.53,1.16,0.54,1.09,1.36,10.54,1.54,1.68,2.48,3.18,3.62,3.05,1.91,1.86,2.35,1.02,0.96,1.69,1.51,1.39,1.02
"752","SWE","Sweden",5.65,5.54,5.31,4.85,4.4,4.16,4.29,4.25,4.28,3.91,3.49,3.43,3.63,0.87,2.39,2.57,2.49,2.82,2.85,2.92,3.03,3.28,3.22,2.86,3.68,4.99,3.92,2.54
"756","CHE","Switzerland",3.68,3.53,3.52,2.52,1.7,2.03,2.18,2.15,2.22,2.13,2.27,2.23,2.05,1.51,2.05,2.07,1.56,1.85,1.72,1.75,1.72,1.61,1.67,1.44,1.54,1.11,0.68,0.66
"760","SYR","Syria",8.26,8.08,6.64,6.89,7.3,5.68,5.24,5.67,6.14,6.48,5.58,5.22,6.06,3.93,1.56,4.15,1.27,1.73,0,0,0,0.18,0.23,0.29,0.23,0.15,0.35,0.62
"158","TWN","Taiwan",NA,NA,NA,NA,NA,NA,6.68,6.88,6.63,6.31,6.86,6.57,5.79,5.53,5.74,5.57,5.61,5.68,5.44,5.24,5.42,5,4.94,4.63,4.85,4.34,4.35,4.37
"762","TJK","Tajikistan",4.12,1.06,1.38,NA,NA,NA,2.47,1.47,1.64,1.54,1.54,0.14,0.02,0.21,0.13,0.06,0.05,0.29,0.47,0.15,0.19,0.65,0.36,0.65,0.74,0.37,0.25,0.3
"834","TZA","Tanzania",0.23,0.26,0.18,0.19,0.17,0.03,0.15,0.17,0.26,0.43,0.29,0.22,0.22,0.34,0.61,0.63,0.85,0.57,0.54,0.64,1.02,0.84,1,0.5,0.65,0.36,1.3,1.12
"764","THA","Thailand",7.28,6.97,7.4,6.66,6.09,6.63,6.56,8.39,6.97,4.77,6.01,6.74,5.17,3.59,6.34,6.12,6.72,8.14,7.59,6.41,6.05,5.97,3.86,3.52,3.86,4.14,9.35,10.9
"626","TLS","Timor-Leste",NA,NA,NA,NA,NA,NA,0,0,0.02,0,0,0,0,0.01,0,0.01,0.07,0.02,0.01,0.05,0.03,0.01,0.01,0.01,0.01,0.01,0,0.01
"768","TGO","Togo",1.03,1.14,1.09,0.84,1.06,0.95,0.68,1.04,0.32,0,0,0,0,0.22,0.77,0.35,0.77,1.18,0.42,0.15,1.17,0.05,1.24,0.21,0.21,0.11,0.64,1.04
"776","TON","Tonga",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.28,0.32,0.78,0.53,0.46,0.37,0.35,0.55,0.55,0.43,0.47,0.68,0.73,0.61,0.21,0.12
"780","TTO","Trinidad and Tobago",0.77,0.77,0.31,0.23,0.52,0.26,0.6,0.6,0.22,0.22,0.22,0.22,0.07,0.15,0.07,0.14,0.21,0.28,0.35,0.35,0.35,0.28,0.34,0.39,0.56,0.58,0.68,0.67
"788","TUN","Tunisia",4.41,4.25,4.67,4.45,4.61,4.05,4.11,4.47,4.48,4.44,4.35,4.41,3.51,4.51,4.55,4.59,4.63,4.71,4.42,5.12,4.76,3.91,4.7,5.01,2.12,5.92,6.02,5.98
"792","TUR","Turkiye",9.33,9.43,10.99,9.73,9.61,7.1,7.07,8.05,8.6,8.68,8.64,7.32,4.59,8.74,8.26,6.6,7.07,8.15,7.31,7.31,9.71,9.08,6.17,7.82,8.87,7.31,6.93,8.43
"795","TKM","Turkmenistan",4.69,1.15,1.13,1.11,NA,NA,0,0,1.01,0.99,0.97,0.95,0.94,0.92,0.9,0.88,0.86,0.93,0.99,5.15,2.83,3.03,5.09,4.86,3.84,2.86,3.92,3.85
"796","TCA","Turks and Caicos Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"798","TUV","Tuvalu",NA,NA,NA,NA,NA,NA,0.54,0.5,0.58,0.48,0.48,0.54,0.57,0.56,0.57,0.43,0.35,0.35,0.25,0.35,0.31,0.36,0.46,0.38,0.42,0.15,0.07,0.07
"800","UGA","Uganda",0.01,0.01,0.04,0.06,0.07,0.04,0.08,0.11,0.12,0.07,0.08,0.07,0.18,0.13,0.09,0.08,0.1,0.12,0.09,0.16,0.06,0.1,0.15,0.15,0.09,0.09,0.11,0.1
"804","UKR","Ukraine",1.89,2.05,1.51,1.24,1.25,1.24,0.68,1.61,1.79,2.14,2.73,3.59,3.71,2.87,3.39,4.21,4.79,5.14,5.24,4.88,6.29,8,9.08,8.17,9.68,10.18,7.89,5.75
"784","ARE","United Arab Emirates",1.27,1.31,1.64,1.53,1.43,1.34,1.56,1.47,1.39,1.32,0.78,0.67,0.6,0.56,0.54,0.52,0.5,0.54,0.43,0.48,0.51,0.44,0.34,0.4,0.43,0.38,0.36,0.35
"826","GBR","United Kingdom",7.14,6.98,5.88,5.39,4.72,4.71,4.75,4.71,4.62,4.27,3.85,3.64,3.47,2.06,2.92,3.02,2.94,3.01,3.1,3,2.99,2.94,2.82,2.77,2.58,2.53,1.61,1.49
"840","USA","United States of America",15.33,15.31,14.43,13.95,13.79,14.3,13.56,15.1,14.37,13.74,13.88,12.76,9.33,12.26,12.53,12.56,13.44,13.3,11.98,12.09,12,12.07,12.03,11.68,11.93,11.16,10.75,10.69
"858","URY","Uruguay",31.97,24.94,20.22,16.44,17.22,17.33,17.65,25.4,29.27,36.28,33.17,34.4,28.22,29.61,34.03,46.71,45.89,75.98,54.86,36.27,41.67,42.03,45.04,36.31,36.08,37.28,29.64,29.85
"860","UZB","Uzbekistan",6.42,5.14,5.86,5.6,4.69,5.03,5.71,4.9,4.92,3.98,5.43,5.36,5.32,6.69,6.54,6.4,6.35,6.68,7.22,7.17,7.22,7.1,4.51,4.18,4.46,3.96,1.54,2.12
"548","VUT","Vanuatu",NA,NA,NA,NA,NA,NA,0.02,0.02,0.02,0.01,0,0.02,0.02,0.01,0.01,0.04,0.01,0,0,0,0,0.01,0,0,0,0,0,0
"862","VEN","Venezuela",2.82,2.65,2.18,2.16,2.16,2.2,1.97,1.95,1.94,2.17,2.02,2.83,2.94,2.15,2.54,3.09,4.13,4.17,4,4.11,3.26,3.02,3.21,0.16,0.75,0.31,0.31,0.31
"704","VNM","Viet Nam",5.2,5.21,5.31,5.98,6.56,6.49,6.5,7.63,7.92,9.29,10.25,10.94,8.67,10.81,8.47,7.84,7.71,9.42,9.52,8.14,8.77,9.17,7.8,7.72,7.65,7.58,6.48,6.43
"876","WLF","Wallis and Futuna Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"732","ESH","Western Sahara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"887","YEM","Yemen",NA,NA,0.05,NA,NA,NA,NA,NA,0.01,0.04,0,NA,NA,NA,NA,NA,0.13,0.29,0.04,0.02,0.04,0.03,0.01,0.07,0.08,0.04,0.05,0.06
"894","ZMB","Zambia",1.54,1.53,1.42,1.37,1.34,1.13,1.27,1.33,1.01,0.41,0.71,0.92,0.68,0.46,0.6,1.86,1.71,1.96,2.47,2.4,2.27,2.14,2.05,2.67,3.03,1.74,2.06,2.22
"716","ZWE","Zimbabwe",3.32,3.87,3.62,3.65,3.65,2.92,3.98,3.63,1.65,1.66,3.58,2.37,2.36,3.12,3.58,2.87,1.45,2.53,2.22,1.6,2.67,2.79,3.05,3,0.06,0.41,0.53,0.26
