"code","iso","country","GHI.raw.2005","GHI.raw.2006","GHI.raw.2007","GHI.raw.2008","GHI.raw.2009","GHI.raw.2010","GHI.raw.2011","GHI.raw.2012","GHI.raw.2013","GHI.raw.2014","GHI.raw.2015","GHI.raw.2016","GHI.raw.2017","GHI.raw.2018","GHI.raw.2019","GHI.raw.2020","GHI.raw.2021","GHI.raw.2022","GHI.raw.2023","GHI.raw.2024"
112,"BLR","Belarus",5.44538324884525e-07,5.11086459100451e-07,4.63403229191867e-07,4.4800603507458e-07,4.37528813600262e-07,4.16613890068507e-07,3.93103209710523e-07,3.9302320003912e-07,3.96279674324941e-07,3.86922437921696e-07,3.81795547565445e-07,3.8558301506154e-07,3.83763934671629e-07,3.82953955325498e-07,3.77295515968469e-07,3.69236517954403e-07,3.65993282589893e-07,3.68901651666841e-07,3.48106601210532e-07,3.35624574998077e-07
56,"BEL","Belgium",2.64104269305624e-07,2.53645018861097e-07,2.40005626935335e-07,2.39042265638048e-07,2.21928361268009e-07,2.28511076578244e-07,2.08851173727858e-07,2.03555967109852e-07,2.03197767186071e-07,1.90477368266048e-07,1.94322360046163e-07,1.896814097884e-07,1.85473400536501e-07,1.83381725071929e-07,1.78123065801917e-07,1.73673271340429e-07,1.68340859881029e-07,1.52063945467672e-07,1.42736733200326e-07,1.41801193084901e-07
84,"BLZ","Belize",2.24215013781922e-07,2.39796216445892e-07,2.48415248089821e-07,2.46273039840971e-07,2.75085425624827e-07,2.79351569380277e-07,3.02496365499921e-07,2.56418153976502e-07,2.51670694436384e-07,2.3911296574936e-07,2.7683539584573e-07,2.76790059361788e-07,2.84331443154663e-07,2.80444851556414e-07,2.97691959539785e-07,3.16277317027523e-07,2.78164944543873e-07,2.63010012462946e-07,2.71443770522038e-07,2.71760005063693e-07
204,"BEN","Benin",3.47066184305347e-07,3.79760045730127e-07,3.88979932807835e-07,3.75832867587061e-07,3.86766499048225e-07,4.12592114363091e-07,4.01173552278751e-07,3.86328403072098e-07,3.80772947306751e-07,3.68494803777997e-07,3.84406571262855e-07,3.81442904466729e-07,3.7431506604482e-07,3.63906734099918e-07,3.38480038059461e-07,3.31310509428359e-07,3.25066476148842e-07,3.22818528763362e-07,3.09237383009161e-07,2.94755732096471e-07
60,"BMU","Bermuda",8.90255531867083e-08,9.46285092740496e-08,1.01510862683765e-07,9.19780805190921e-08,7.23282737809675e-08,9.38917787163477e-08,7.21783871739575e-08,6.37682054810051e-08,9.14435666911695e-08,1.17611748790405e-07,9.56382565980745e-08,1.08920727682884e-07,1.09199185224744e-07,1.18577263588236e-07,1.01358403972617e-07,8.0858924474207e-08,9.08571634712419e-08,8.7570214650319e-08,8.51183672254949e-08,8.31828054841209e-08
64,"BTN","Bhutan",3.43986458220594e-07,3.09905743701694e-07,2.66793037444797e-07,3.04609553820784e-07,2.78812982882875e-07,2.83484027720605e-07,2.77651415113845e-07,2.81575732245815e-07,2.99310447938003e-07,2.92627087642636e-07,2.86408261647426e-07,2.80428525825442e-07,2.86959749250809e-07,2.82436980157704e-07,2.55828142860256e-07,2.49297028188856e-07,2.62329597443966e-07,2.55557293315469e-07,2.46941859348513e-07,2.51562378431606e-07
68,"BOL","Bolivia",4.62539861793815e-07,4.45462359945927e-07,4.40181412096373e-07,4.21800798046475e-07,4.21073216698404e-07,4.40852481316414e-07,4.26639804387305e-07,4.28798087121983e-07,4.09850718022189e-07,4.04136776647321e-07,3.897151253365e-07,3.86825205543179e-07,3.79952222810218e-07,3.75490772206602e-07,3.7715165155e-07,3.98982690885554e-07,3.94586289516047e-07,3.96494473301333e-07,3.99896205887808e-07,4.51799413576088e-07
70,"BIH","Bosnia and Herzegovina",5.54484148393759e-07,5.65240530541274e-07,5.4091627321685e-07,5.5544009559903e-07,5.80479532833177e-07,5.88441149124078e-07,6.43850899770054e-07,6.11953478839632e-07,5.87948527860159e-07,5.47602681572841e-07,5.06562740125609e-07,5.68263611790144e-07,5.60406432981078e-07,5.44234372077722e-07,5.02652136986514e-07,5.1840386761334e-07,4.80142367768634e-07,4.57436136729559e-07,4.30091854156345e-07,4.08384325564247e-07
72,"BWA","Botswana",3.69645544624978e-07,3.46827059720027e-07,3.27807634459712e-07,3.46141086957809e-07,3.69352259682346e-07,3.96756242524773e-07,3.57146641140692e-07,3.6080433341758e-07,3.39053991512281e-07,3.37384735367012e-07,3.25149250180776e-07,3.15142092298303e-07,3.15833262076009e-07,3.20557117222989e-07,2.9647347535117e-07,2.85456462566972e-07,2.86528847237046e-07,2.86695416230314e-07,2.79031061529538e-07,2.76681999200639e-07
76,"BRA","Brazil",3.50400616595301e-07,3.38425449153464e-07,3.26221105001868e-07,3.21273119593274e-07,3.15160268044444e-07,3.14179243163094e-07,3.11632327214227e-07,3.15113378151134e-07,3.17515702133941e-07,3.24926084137647e-07,3.32662819789355e-07,3.36632089785563e-07,3.33481345746454e-07,3.2210440364643e-07,3.20086608707859e-07,3.27513586573139e-07,3.3141164727899e-07,3.24570984119753e-07,3.19693507285851e-07,3.06768290826385e-07
92,"VGB","British Virgin Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,"BRN","Brunei Darussalam",2.08273397243377e-07,2.6239000972849e-07,2.96365229692408e-07,3.78669578974409e-07,3.15257502751827e-07,3.03559845703625e-07,3.41108618771455e-07,3.338973921748e-07,2.82276327885314e-07,3.21185920982101e-07,2.68471119110958e-07,2.924181994067e-07,3.38372251190584e-07,3.41140040227904e-07,3.3757270830292e-07,3.82504818578264e-07,4.02131365361939e-07,4.18991187674088e-07,4.2161263259678e-07,3.96652578088112e-07
100,"BGR","Bulgaria",4.64735738782902e-07,4.41796138556927e-07,4.40213920688105e-07,4.04541974479468e-07,3.64794925531405e-07,3.7208523329197e-07,3.99124632349452e-07,3.66932602808149e-07,3.34856895576881e-07,3.51110655677518e-07,3.5470143801947e-07,3.30418997802829e-07,3.33716094065393e-07,3.03645867087447e-07,2.86382988245216e-07,2.65619246432854e-07,2.75745631546521e-07,2.86689737207926e-07,2.20872518305282e-07,1.99670629850663e-07
854,"BFA","Burkina Faso",8.69867620847034e-07,8.41808529332242e-07,8.38995380423282e-07,8.32272664920814e-07,8.28821337638983e-07,7.92774109413893e-07,7.61168404558429e-07,7.45576964139441e-07,7.25285351389475e-07,7.12507706903426e-07,7.21246024185753e-07,7.06983125593513e-07,6.9149601433085e-07,6.76688179486672e-07,6.64256705952218e-07,5.81864832017679e-07,6.38441480452287e-07,6.36561340535906e-07,5.97895948696294e-07,5.75713395119618e-07
108,"BDI","Burundi",4.34695447045529e-07,4.35928287402662e-07,4.36994561278769e-07,4.34118396704878e-07,4.46256696957807e-07,4.64348965415393e-07,4.72601636589013e-07,4.51810439196083e-07,5.33298777947098e-07,5.04258293013324e-07,5.02551128198693e-07,5.18107657493613e-07,5.58954981340812e-07,5.46878523461803e-07,5.07606383808934e-07,4.98506516066272e-07,5.70700229130679e-07,5.49365029901165e-07,5.65606912498246e-07,5.58707749641477e-07
132,"CPV","Cabo Verde",2.37352384398994e-07,2.3556172166845e-07,2.07277838876121e-07,1.84320050828535e-07,2.0397883085454e-07,2.11040576000631e-07,2.193915769668e-07,1.87095819428162e-07,1.846073074558e-07,1.83418104957767e-07,1.83483027399498e-07,1.86552153464707e-07,1.84686953561588e-07,1.7740437289367e-07,1.79510123615224e-07,1.97745871773563e-07,2.04455793556419e-07,1.79254212252495e-07,1.66138205540906e-07,1.60018085814694e-07
116,"KHM","Cambodia",6.46882300305017e-07,6.2567564729507e-07,5.93234992819022e-07,5.71288157997293e-07,5.75562782204723e-07,5.63580765984319e-07,5.45104867092149e-07,5.04702447854787e-07,4.67513798027321e-07,4.4874450520349e-07,4.41508126713992e-07,4.45722022543956e-07,4.36111164541494e-07,4.23494735148168e-07,4.35680288186005e-07,4.7515487824094e-07,4.7299717087746e-07,4.40725952788915e-07,4.3559994544084e-07,4.17472851365821e-07
120,"CMR","Cameroon",4.16138586770673e-07,3.90895791870063e-07,3.95031989005742e-07,3.76122690575617e-07,3.84487928431311e-07,3.63840540816924e-07,3.49846367223631e-07,3.36353432224224e-07,3.3572970138445e-07,3.43249338123029e-07,3.61718686877288e-07,3.46325620146605e-07,3.19591299811287e-07,3.07487124813268e-07,3.03163130393682e-07,3.07885291116499e-07,3.00230167887014e-07,2.93076172382711e-07,2.83682552836073e-07,2.75708973076609e-07
124,"CAN","Canada",4.45716226156061e-07,4.33959127086029e-07,4.39573146249355e-07,4.23778385797867e-07,4.13063882017424e-07,4.089303769108e-07,4.03043248163094e-07,3.97993508581065e-07,3.9393962473927e-07,3.83902958763332e-07,3.7966935262948e-07,3.69570678636049e-07,3.66341030398436e-07,3.61671234847995e-07,3.56713142381207e-07,3.41256082480208e-07,3.28631289704036e-07,3.21789335577837e-07,3.17134040678912e-07,3.07882286947489e-07
136,"CYM","Cayman Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,"CAF","Central African Republic",1.83918496277746e-06,1.76495259017397e-06,1.86862838166481e-06,1.84860139474524e-06,1.59835953448768e-06,1.63196506647966e-06,1.69457154265863e-06,1.57807351837649e-06,2.46731072208396e-06,2.45220095656661e-06,2.43624099335519e-06,2.48573764991791e-06,2.28632689653477e-06,2.25432132887708e-06,2.15603300900288e-06,2.19483779071765e-06,2.20547500284618e-06,2.25328749976129e-06,2.17906578494483e-06,2.26182657156393e-06
148,"TCD","Chad",1.30722359979467e-06,1.37401494839477e-06,1.38629059871064e-06,1.39824077633918e-06,1.49890524418533e-06,1.39428757655837e-06,1.39670740680718e-06,1.36007361064658e-06,1.39547126949499e-06,1.44155081223202e-06,1.51375711557543e-06,1.66096911182807e-06,1.77174936101165e-06,1.77060462198368e-06,1.76920483311081e-06,1.87507511010656e-06,1.95417094862469e-06,1.99405016844455e-06,2.02976581093036e-06,2.03446109982096e-06
152,"CHL","Chile",2.62124709972334e-07,2.5567612151835e-07,2.63515073278914e-07,2.56124635713681e-07,2.4585885444222e-07,2.41836194015811e-07,2.51629144443733e-07,2.44081594583256e-07,2.37386493479973e-07,2.22630658059306e-07,2.26356742600328e-07,2.28836859277578e-07,2.28966105653561e-07,2.24632435704325e-07,2.39117317559198e-07,2.32723941547783e-07,2.14274317553618e-07,2.1509464121006e-07,2.0121230517967e-07,1.98698667082374e-07
156,"CHN","China",9.25385105230087e-07,8.97087469649126e-07,8.31885390592996e-07,8.0228322194549e-07,7.68206121028641e-07,7.52044372803725e-07,7.5569113681873e-07,7.18472455070931e-07,6.78638158517566e-07,6.3458168061025e-07,5.85827896065688e-07,5.41761277665795e-07,5.18490689529725e-07,5.01628881489433e-07,4.87779375969515e-07,4.84339026820212e-07,4.60919968611804e-07,4.61801839771248e-07,4.54077547679341e-07,4.36657901587044e-07
170,"COL","Colombia",3.05059860758723e-07,2.93016319807807e-07,2.75868309048413e-07,2.79578934238094e-07,2.86564460465096e-07,2.85013809430515e-07,2.63843570439925e-07,2.55498324217233e-07,2.53688077617617e-07,2.48392171023526e-07,2.40507562190829e-07,2.38047732238278e-07,2.29537450076545e-07,2.37679117492511e-07,2.44926467064267e-07,2.56026599040329e-07,2.49691612762161e-07,2.18550154006953e-07,2.18866447535627e-07,2.17996054651096e-07
174,"COM","Comoros",2.58143102847934e-07,2.79310637823786e-07,2.45812094986241e-07,2.41697802356976e-07,2.51245675120152e-07,2.57214464412861e-07,2.42584750439115e-07,2.43962422948769e-07,2.50503127381701e-07,2.41119699664382e-07,2.46709217315805e-07,2.53369657242874e-07,2.70429300904747e-07,2.72022838306511e-07,2.8275987421946e-07,3.08703303511747e-07,3.49892167955512e-07,3.56565496851367e-07,3.52742675479539e-07,3.45975523192367e-07
184,"COK","Cook Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,"CRI","Costa Rica",1.86440322693919e-07,1.78416379219278e-07,1.80663964152422e-07,1.7599262234773e-07,1.76232383752672e-07,1.67314320324041e-07,1.57825424347929e-07,1.46192069101976e-07,1.46934947221883e-07,1.44296022178015e-07,1.36633164590519e-07,1.37479086773339e-07,1.35049932703408e-07,1.35245256120705e-07,1.30271168408334e-07,1.23668588567414e-07,1.23737281908779e-07,1.21949467738869e-07,1.27957842968068e-07,1.25252812537154e-07
384,"CIV","Cote d'Ivoire",2.29658492484214e-07,2.18334659141417e-07,2.1846099392675e-07,2.11106408827186e-07,1.91240344518969e-07,1.89741192903851e-07,2.12850500563327e-07,2.24395829413045e-07,2.17720494518515e-07,2.03295168780899e-07,1.89080526566259e-07,2.01009327326671e-07,1.8727635292948e-07,1.65153636515596e-07,1.61830414259986e-07,1.64900031759205e-07,1.74358398675142e-07,1.69572138792637e-07,1.60222811018654e-07,1.56632023171623e-07
191,"HRV","Croatia",2.49202239548815e-07,2.40720464553911e-07,2.39675687925391e-07,2.25835302600335e-07,2.26722641885751e-07,2.25707794530128e-07,2.24588655086146e-07,2.17697819312027e-07,2.125928032776e-07,2.07979184159553e-07,2.06774234514927e-07,2.04360920811207e-07,2.0386245077585e-07,1.90232187672563e-07,1.86092524438624e-07,1.97132000218872e-07,1.77242820043156e-07,1.64566219014994e-07,1.66554235336509e-07,1.60532193459058e-07
192,"CUB","Cuba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
531,"CUW","Curacao",1.14301520710523e-06,1.16789231603642e-06,1.27928215399659e-06,1.20456514917159e-06,1.23581813836327e-06,8.52800209514607e-07,1.0814527134552e-06,1.31810928014906e-06,1.25335368864733e-06,1.44182138013736e-06,1.54346880620437e-06,1.32474958697747e-06,1.07441723181387e-06,9.55781589931817e-07,5.53069804532961e-07,5.70246122467788e-07,5.82493584348689e-07,5.62424573400633e-07,5.38747328774411e-07,5.32351745380895e-07
196,"CYP","Cyprus",3.03244178495401e-07,2.9723494314911e-07,2.91951250607529e-07,2.88628935476075e-07,2.87524631013484e-07,2.71828143642253e-07,2.6385862459729e-07,2.57661465572442e-07,2.54270896252324e-07,2.71404934562252e-07,2.64013469779157e-07,2.609687404999e-07,2.51791814887568e-07,2.34469831384159e-07,2.22430929348192e-07,2.20409623993877e-07,1.99538339496806e-07,1.86707487588067e-07,1.83994586531714e-07,1.8104961504186e-07
203,"CZE","Czechia",4.12321501073144e-07,3.88707753757378e-07,3.73691079156173e-07,3.50841285872434e-07,3.46801798725018e-07,3.45072132033364e-07,3.34531120225694e-07,3.27129939051929e-07,3.16285447851679e-07,3.04523976724411e-07,2.93124746745236e-07,2.88537850684211e-07,2.77119530228662e-07,2.65433072730779e-07,2.45639583266247e-07,2.37927158998275e-07,2.39848439048434e-07,2.30559120333464e-07,2.05657820160383e-07,1.87459366123019e-07
180,"COD","Dem. Rep. Congo",4.21296864852324e-07,4.09711930749103e-07,3.88244996381508e-07,3.70607361482275e-07,3.6629241965479e-07,3.55743393229304e-07,3.41695580512195e-07,3.87897954050079e-07,3.80743281083575e-07,3.79496706395365e-07,3.55342699503064e-07,3.57898950256317e-07,3.56805234688435e-07,3.41180510094257e-07,3.52568979660293e-07,3.71153627455588e-07,3.71305596506478e-07,3.59883641669029e-07,3.39310377190024e-07,3.26773968012342e-07
208,"DNK","Denmark",2.01499168831273e-07,2.15046747979856e-07,1.99824404095441e-07,1.89424857510711e-07,1.9191117765053e-07,1.90614699545346e-07,1.72805063861891e-07,1.59975239800684e-07,1.6289988667444e-07,1.486992311221e-07,1.38638628257726e-07,1.39822517866645e-07,1.29307602272248e-07,1.26723044791617e-07,1.14773827813068e-07,1.10297906683448e-07,1.05779506864884e-07,1.02550037519566e-07,1.00507565626839e-07,9.59474602749364e-08
262,"DJI","Djibouti",5.20309840165537e-07,4.99355738606418e-07,4.90469982674648e-07,4.842011423918e-07,4.54760060567275e-07,4.55504173788751e-07,3.77266183163898e-07,3.60534415139013e-07,3.67581693230959e-07,3.53584297100508e-07,3.47672275428907e-07,3.198016505556e-07,3.0308951024985e-07,3.00779618270994e-07,3.00584006041663e-07,2.89311109575816e-07,2.94700252340439e-07,2.84426889018907e-07,2.71174253217802e-07,2.56030429599737e-07
212,"DMA","Dominica",2.02376981328479e-07,1.87432162312393e-07,2.04370057052944e-07,1.8800853168129e-07,2.05616652369646e-07,1.91108919160865e-07,1.77305616384007e-07,1.9041120924275e-07,1.84327154623906e-07,1.89563829941113e-07,2.02309257056073e-07,1.96684356786862e-07,1.95964314793027e-07,1.99954436527781e-07,1.9901040335791e-07,2.21488190539796e-07,2.13953614352403e-07,1.97161816036022e-07,1.9010749438347e-07,1.91592811296925e-07
214,"DOM","Dominican Republic",2.51358813194487e-07,2.43581016958025e-07,2.40498438173781e-07,2.3743806876117e-07,2.34305699763511e-07,2.234128941682e-07,2.20709757147405e-07,2.15442330069632e-07,2.05509199226626e-07,1.9594657088173e-07,1.93589494416523e-07,1.89088087341395e-07,1.80177642308979e-07,1.78344676119862e-07,1.85597409578885e-07,1.93230334694791e-07,1.84536190507051e-07,1.84800510584901e-07,1.84177975539395e-07,1.81429877067121e-07
218,"ECU","Ecuador",3.71690146472978e-07,3.53294592166274e-07,3.7328813046329e-07,3.30331959269136e-07,3.54679059827412e-07,3.62326957878065e-07,3.47158337076658e-07,3.23249206830631e-07,3.1525190034172e-07,3.19006950772138e-07,3.02940129428556e-07,2.98293274737174e-07,2.78739246629265e-07,2.7093040571002e-07,2.80182086884091e-07,2.71801613097867e-07,2.72122940504383e-07,2.69881072998847e-07,2.73394829619654e-07,2.8457795928365e-07
818,"EGY","Egypt",2.90271028607267e-07,2.85823595419788e-07,2.79042549478895e-07,2.69387569967033e-07,2.65173746864304e-07,2.48887103372779e-07,2.62299027662543e-07,2.49989900940706e-07,2.48449048430006e-07,2.48260738789848e-07,2.37521412040976e-07,2.42684857010214e-07,2.3940555126486e-07,2.20408576268891e-07,1.99458040262515e-07,2.00067824553063e-07,2.06366922417904e-07,1.84686799822522e-07,1.79449674124359e-07,1.79946676547761e-07
222,"SLV","El Salvador",2.33676552969035e-07,2.35034786208333e-07,2.30673540417237e-07,2.20687368626435e-07,2.22011795106512e-07,2.14238098178692e-07,2.0285149211931e-07,2.01732944886773e-07,1.83096524518054e-07,1.86184428176018e-07,1.91283468318004e-07,1.83819418337486e-07,1.70496152008926e-07,1.7211243050137e-07,1.86366447864159e-07,1.83000330031732e-07,1.7694070582292e-07,1.8630675351448e-07,1.90538402065476e-07,1.90654064590216e-07
226,"GNQ","Equatorial Guinea",5.10792399541314e-07,5.14434363399784e-07,4.45387325234247e-07,3.69275999673212e-07,3.071942703568e-07,3.84468133952989e-07,3.49345952838664e-07,3.43143325559499e-07,3.65891114246871e-07,3.54319725757935e-07,3.86903638426902e-07,4.09907730856681e-07,3.88803343836956e-07,3.75001061426771e-07,3.3377656417314e-07,3.79036143468827e-07,3.79953190758645e-07,3.74187919820123e-07,3.46417972551695e-07,3.50031767647353e-07
232,"ERI","Eritrea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
233,"EST","Estonia",5.1586767170786e-07,4.54717755139521e-07,4.9943569750236e-07,4.82163352351943e-07,4.79859940475203e-07,5.86288450369155e-07,5.44472078951785e-07,5.00468748952753e-07,5.36168038668429e-07,5.03211186525163e-07,4.31539551879028e-07,4.48551684590116e-07,4.49360177710597e-07,4.1965506323895e-07,2.97854329648704e-07,2.40462711203074e-07,2.40804832608314e-07,2.69728908002812e-07,2.1665126999377e-07,2.0860112586408e-07
748,"SWZ","Eswatini",4.1206393516049e-07,3.75906274359828e-07,3.68905904732943e-07,3.55332554221592e-07,3.46379448098884e-07,3.16561524953012e-07,2.97737346917448e-07,3.03629228804819e-07,3.17604964492275e-07,2.56671202729388e-07,2.606075611976e-07,2.66992386911584e-07,2.49571987732901e-07,2.53930588866611e-07,2.47519326498899e-07,2.47353940616967e-07,2.38919256131518e-07,2.45712734606139e-07,2.27258341215198e-07,2.2126757781306e-07
