"code","iso","country","RLI.raw.2000","RLI.raw.2001","RLI.raw.2002","RLI.raw.2003","RLI.raw.2004","RLI.raw.2005","RLI.raw.2006","RLI.raw.2007","RLI.raw.2008","RLI.raw.2009","RLI.raw.2010","RLI.raw.2011","RLI.raw.2012","RLI.raw.2013","RLI.raw.2014","RLI.raw.2015","RLI.raw.2016","RLI.raw.2017","RLI.raw.2018","RLI.raw.2019","RLI.raw.2020","RLI.raw.2021","RLI.raw.2022","RLI.raw.2023","RLI.raw.2024","RLI.raw.2025"
192,"CUB","Cuba","0.73526","0.73126","0.72441","0.71924","0.71334","0.70779","0.70236","0.69648","0.69195","0.69124","0.69077","0.69039","0.6901","0.68978","0.68954","0.68932","0.68913","0.68892","0.68871","0.6885","0.68828","0.68809","0.68787","0.68767","0.68753","0.68732"
531,"CUW","Curacao","0.88647","0.87976","0.87268","0.86641","0.85936","0.85278","0.84602","0.83953","0.83333","0.83273","0.8324","0.83204","0.83159","0.83117","0.83046","0.82988","0.8294","0.82899","0.8286","0.82834","0.82809","0.82785","0.82766","0.82755","0.82738","0.8272"
196,"CYP","Cyprus","0.89643","0.89282","0.88929","0.88583","0.88235","0.87874","0.87511","0.87148","0.86782","0.8656","0.86335","0.861","0.85917","0.85724","0.85535","0.85381","0.85235","0.85046","0.84861","0.84671","0.84483","0.84293","0.84103","0.83912","0.83724","0.8363"
203,"CZE","Czechia","0.96466","0.96456","0.9645","0.96443","0.96423","0.96368","0.96302","0.96225","0.96147","0.96065","0.95994","0.95923","0.95869","0.95834","0.95817","0.95802","0.95774","0.95746","0.95684","0.95632","0.95574","0.95501","0.95446","0.95396","0.95341","0.95283"
180,"COD","Dem. Rep. Congo","0.94432","0.94427","0.94426","0.94427","0.94423","0.94417","0.944","0.94399","0.9439","0.94384","0.94381","0.94376","0.94379","0.9437","0.94372","0.94366","0.94356","0.94347","0.94332","0.94324","0.9432","0.94304","0.94307","0.94304","0.943","0.94294"
208,"DNK","Denmark","0.97701","0.97662","0.97626","0.97593","0.97559","0.9754","0.97522","0.97504","0.97487","0.97472","0.97456","0.97444","0.97439","0.97439","0.97442","0.97447","0.97453","0.97459","0.97464","0.97468","0.97473","0.97478","0.97481","0.97484","0.97489","0.97492"
262,"DJI","Djibouti","0.85356","0.85237","0.85154","0.85043","0.84948","0.84907","0.84849","0.84777","0.84667","0.84546","0.84444","0.8431","0.84164","0.84037","0.83868","0.83755","0.83612","0.83446","0.83336","0.83216","0.8303","0.82897","0.8273","0.8261","0.82463","0.82311"
212,"DMA","Dominica","0.70849","0.70335","0.69661","0.68989","0.68476","0.67963","0.67451","0.66938","0.66426","0.66413","0.66401","0.66389","0.66377","0.66365","0.66353","0.66329","0.66305","0.65956","0.6557","0.65191","0.64826","0.6481","0.64788","0.64775","0.64765","0.64756"
214,"DOM","Dominican Republic","0.75445","0.74918","0.74401","0.73884","0.7337","0.72875","0.72381","0.71888","0.71395","0.71383","0.71373","0.71362","0.71351","0.71339","0.71328","0.71316","0.71304","0.71293","0.71282","0.71272","0.71261","0.7125","0.71241","0.71228","0.71221","0.7121"
218,"ECU","Ecuador","0.81723","0.81491","0.81268","0.81023","0.80831","0.80564","0.80357","0.80148","0.79851","0.79575","0.79222","0.78892","0.78429","0.78064","0.77634","0.77228","0.76849","0.76509","0.76152","0.75844","0.75356","0.75018","0.74622","0.74299","0.7392","0.73579"
818,"EGY","Egypt","0.94279","0.94166","0.94045","0.93936","0.9385","0.93771","0.93684","0.93632","0.93533","0.93445","0.93322","0.93233","0.93141","0.93031","0.9293","0.92868","0.92713","0.92642","0.92531","0.92436","0.92289","0.92204","0.92102","0.91997","0.91862","0.91793"
222,"SLV","El Salvador","0.8854","0.88273","0.87949","0.87728","0.87437","0.87134","0.86876","0.86583","0.86328","0.86109","0.8589","0.85669","0.85446","0.85227","0.85007","0.84787","0.8456","0.84344","0.84123","0.83903","0.83683","0.83463","0.83243","0.83022","0.82803","0.82691"
226,"GNQ","Equatorial Guinea","0.82369","0.81702","0.81221","0.80569","0.7997","0.79425","0.78907","0.78395","0.77759","0.77443","0.77448","0.77528","0.77584","0.77634","0.7761","0.77652","0.77669","0.77681","0.77828","0.77806","0.77903","0.77897","0.78073","0.78027","0.78189","0.78288"
232,"ERI","Eritrea","0.92475","0.92397","0.92313","0.92238","0.92148","0.92065","0.91993","0.91915","0.91817","0.91706","0.91605","0.91494","0.91394","0.91299","0.91189","0.91102","0.91007","0.90872","0.90776","0.90675","0.90575","0.90475","0.90386","0.90258","0.90174","0.90071"
233,"EST","Estonia","0.98117","0.98102","0.98086","0.98071","0.98056","0.98034","0.98012","0.9799","0.97968","0.97947","0.97927","0.97907","0.97905","0.97905","0.97905","0.97914","0.97923","0.97925","0.97927","0.97929","0.97931","0.97938","0.97944","0.97951","0.97957","0.97957"
748,"SWZ","Eswatini","0.96441","0.96438","0.96435","0.96431","0.96427","0.96422","0.96418","0.96413","0.96407","0.96401","0.96394","0.96389","0.96386","0.96382","0.9638","0.96378","0.96377","0.96375","0.96374","0.96372","0.9637","0.96369","0.96367","0.96366","0.96364","0.96363"
231,"ETH","Ethiopia","0.84579","0.84569","0.84558","0.84535","0.84503","0.84475","0.8442","0.84377","0.84365","0.84326","0.84314","0.84306","0.84289","0.8429","0.84266","0.84265","0.84243","0.84223","0.84212","0.84205","0.84204","0.84185","0.84156","0.84145","0.84156","0.84129"
234,"FRO","Faeroe Islands","0.84345","0.8424","0.84138","0.84028","0.83922","0.83845","0.83785","0.83734","0.83714","0.83714","0.83714","0.83706","0.83596","0.83444","0.83226","0.82949","0.82822","0.8276","0.82746","0.82766","0.82778","0.82796","0.82816","0.82837","0.8285","0.82865"
238,"FLK","Falkland Islands","0.71332","0.71322","0.71314","0.71333","0.71353","0.71661","0.721","0.7245","0.72571","0.72894","0.72912","0.72919","0.72921","0.72923","0.72924","0.72927","0.72928","0.72929","0.72934","0.72939","0.72942","0.7295","0.72952","0.72959","0.72961","0.72967"
242,"FJI","Fiji","0.78218","0.78077","0.7797","0.77839","0.77732","0.77641","0.77548","0.77449","0.77301","0.77095","0.7688","0.76724","0.76521","0.76321","0.76139","0.75922","0.75735","0.75565","0.75366","0.75194","0.7493","0.74739","0.74587","0.744","0.74204","0.74017"
246,"FIN","Finland","0.98196","0.98193","0.9819","0.98188","0.98185","0.9816","0.98135","0.9811","0.98085","0.9806","0.98035","0.98009","0.98009","0.98009","0.98011","0.98024","0.98038","0.98044","0.98051","0.98058","0.98064","0.98073","0.98082","0.98091","0.981","0.981"
250,"FRA","France","0.92215","0.91879","0.91633","0.91439","0.91179","0.90886","0.90628","0.90313","0.89985","0.89649","0.89302","0.88956","0.88589","0.88248","0.87903","0.87531","0.87199","0.86845","0.86521","0.86217","0.85873","0.85509","0.85218","0.84915","0.8456","0.8426"
258,"PYF","French Polynesia","0.75731","0.7557","0.75432","0.75334","0.75235","0.75067","0.74927","0.74819","0.74506","0.7418","0.7385","0.73416","0.72982","0.72537","0.72227","0.71768","0.71327","0.71008","0.7057","0.7016","0.69719","0.69334","0.68922","0.68507","0.68067","0.67804"
266,"GAB","Gabon","0.95226","0.95199","0.95195","0.95191","0.95183","0.95183","0.95175","0.9516","0.9515","0.95135","0.95127","0.95105","0.95102","0.95081","0.95081","0.95071","0.95074","0.95065","0.95065","0.95055","0.95045","0.95046","0.95023","0.95016","0.95026","0.95011"
270,"GMB","Gambia","0.97211","0.97208","0.97206","0.97204","0.97198","0.9719","0.97185","0.97175","0.97155","0.97133","0.97114","0.97095","0.9708","0.97071","0.97063","0.97055","0.97052","0.97049","0.97048","0.97047","0.97046","0.97045","0.97044","0.97044","0.97043","0.97042"
268,"GEO","Georgia","0.96936","0.9691","0.96882","0.96847","0.9681","0.96729","0.96641","0.96547","0.96452","0.96357","0.96267","0.96172","0.96076","0.95997","0.95916","0.9582","0.95738","0.95641","0.95566","0.95426","0.95255","0.94992","0.94585","0.94156","0.93903","0.93739"
276,"DEU","Germany","0.97657","0.97651","0.97645","0.97634","0.97612","0.97569","0.97506","0.9746","0.97402","0.97349","0.97278","0.97241","0.97206","0.97188","0.97182","0.97176","0.97165","0.97142","0.97105","0.97066","0.97026","0.96987","0.9694","0.96904","0.96864","0.96824"
288,"GHA","Ghana","0.89261","0.89256","0.89248","0.89247","0.89224","0.89196","0.89167","0.89111","0.89062","0.89019","0.88956","0.88921","0.8886","0.88799","0.88739","0.88674","0.88613","0.88573","0.88518","0.88484","0.88443","0.88403","0.88347","0.88325","0.883","0.88273"
300,"GRC","Greece","0.85866","0.85459","0.85055","0.84755","0.84332","0.84138","0.83923","0.83278","0.83027","0.82669","0.82374","0.82075","0.81744","0.81533","0.81334","0.81156","0.8097","0.80772","0.80587","0.80394","0.80195","0.80001","0.7981","0.79614","0.7942","0.79285"
304,"GRL","Greenland","0.91071","0.90982","0.90867","0.90757","0.90632","0.90483","0.90353","0.90188","0.90061","0.89937","0.89812","0.89674","0.89511","0.89301","0.89106","0.88888","0.88748","0.88589","0.88497","0.88424","0.88361","0.88283","0.88189","0.88123","0.88055","0.87981"
308,"GRD","Grenada","0.60077","0.5948","0.59037","0.58561","0.58103","0.57786","0.57221","0.5682","0.56493","0.56458","0.56438","0.5642","0.56401","0.56391","0.56367","0.56351","0.56322","0.56315","0.56297","0.56278","0.56257","0.5624","0.56218","0.56199","0.5618","0.56169"
320,"GTM","Guatemala","0.78909","0.78449","0.78022","0.77688","0.77295","0.76927","0.76556","0.76375","0.76074","0.75862","0.75626","0.75405","0.75227","0.75072","0.74847","0.74685","0.74523","0.74389","0.74281","0.7417","0.74039","0.73939","0.73768","0.73682","0.73558","0.73365"
831,"GGY","Guernsey","0.95605","0.9546","0.95316","0.95175","0.95034","0.9501","0.94996","0.94982","0.94973","0.94969","0.94961","0.9495","0.94923","0.94871","0.94803","0.94742","0.94706","0.9469","0.94687","0.94695","0.94704","0.94714","0.94718","0.94726","0.94736","0.94741"
324,"GIN","Guinea","0.88319","0.88305","0.88286","0.88262","0.88251","0.88232","0.88217","0.88189","0.88175","0.88164","0.88148","0.88121","0.88113","0.88085","0.88062","0.88052","0.88045","0.88038","0.88043","0.8804","0.88035","0.88038","0.88037","0.88037","0.88053","0.88051"
624,"GNB","Guinea-Bissau","0.94047","0.94037","0.94021","0.94009","0.93997","0.93987","0.93975","0.93965","0.93953","0.9394","0.93927","0.93913","0.93897","0.93886","0.93872","0.9386","0.9385","0.93839","0.93833","0.93826","0.93822","0.93816","0.93811","0.93807","0.93802","0.93798"
328,"GUY","Guyana","0.8829","0.86672","0.84936","0.83288","0.81548","0.7979","0.78041","0.76234","0.74772","0.74532","0.74351","0.74243","0.74133","0.74041","0.7393","0.7381","0.73702","0.73608","0.73501","0.73407","0.73308","0.73182","0.73088","0.73002","0.72872","0.72786"
332,"HTI","Haiti","0.71603","0.7107","0.70537","0.69984","0.69471","0.68959","0.68448","0.67937","0.67426","0.67415","0.67404","0.67393","0.67382","0.67371","0.67359","0.67346","0.67335","0.67323","0.67312","0.673","0.67288","0.67278","0.67267","0.67255","0.67246","0.67237"
336,"VAT","Holy See","0.96011","0.95598","0.95191","0.94778","0.94361","0.93835","0.93294","0.92753","0.9222","0.91684","0.91132","0.906","0.90073","0.89542","0.89036","0.88521","0.88005","0.87498","0.86975","0.86447","0.8592","0.85388","0.84868","0.84583","0.84084","0.8371"
340,"HND","Honduras","0.78499","0.77898","0.77214","0.7663","0.75946","0.75479","0.74791","0.74238","0.73837","0.73734","0.73661","0.73644","0.73612","0.7359","0.73556","0.73525","0.73479","0.73416","0.73364","0.73304","0.73256","0.73217","0.73176","0.73152","0.73114","0.73088"
344,"HKG","Hong Kong","0.8174","0.81562","0.81383","0.81201","0.81022","0.80815","0.80563","0.80358","0.80146","0.79965","0.79785","0.79597","0.79451","0.79299","0.79126","0.78943","0.78775","0.78585","0.78457","0.78259","0.78103","0.77945","0.77779","0.77603","0.77419","0.77255"
348,"HUN","Hungary","0.9003","0.90012","0.89995","0.89973","0.8996","0.89942","0.89919","0.89898","0.8988","0.89855","0.89838","0.89827","0.8982","0.89833","0.89857","0.89896","0.89906","0.89916","0.89912","0.89906","0.89893","0.89883","0.89869","0.89864","0.8985","0.8984"
352,"ISL","Iceland","0.86275","0.86238","0.86213","0.86177","0.86117","0.86064","0.85982","0.85914","0.85871","0.85844","0.85814","0.85778","0.85672","0.85585","0.85396","0.85232","0.8512","0.8507","0.85074","0.85086","0.85096","0.8511","0.85121","0.8513","0.85141","0.8515"
356,"IND","India","0.84343","0.84247","0.84141","0.84059","0.83973","0.83863","0.83767","0.83635","0.83477","0.83227","0.82946","0.82672","0.82416","0.82119","0.81827","0.81561","0.81243","0.80975","0.80671","0.80428","0.80119","0.79804","0.79543","0.79289","0.78996","0.7875"
360,"IDN","Indonesia","0.89555","0.89382","0.8923","0.89093","0.88946","0.88785","0.88653","0.88476","0.88264","0.87998","0.87606","0.87265","0.86891","0.86538","0.86186","0.8582","0.85474","0.85104","0.84768","0.84464","0.84102","0.83758","0.83448","0.83135","0.8278","0.8248"
364,"IRN","Iran","0.93034","0.92999","0.92962","0.92929","0.92902","0.92883","0.92873","0.92823","0.92737","0.92584","0.92388","0.92209","0.92016","0.91828","0.91619","0.91472","0.9126","0.91081","0.90903","0.90678","0.90505","0.90313","0.9013","0.89995","0.8984","0.89612"
368,"IRQ","Iraq","0.84974","0.84901","0.84829","0.84764","0.84754","0.84747","0.84776","0.84775","0.84772","0.84613","0.84389","0.84153","0.83932","0.83758","0.83558","0.83335","0.83135","0.82904","0.82679","0.82444","0.82199","0.81918","0.81599","0.81347","0.81083","0.80929"
